M49_Code,Country_Name,ISO3_Code,CPI_Food_2016,CPI_Food_2017,CPI_Food_2018,CPI_Food_2019,CPI_Food_2020,CPI_Food_Avg
4,Afghanistan,AFG,108.916832,113.832502,113.490296,119.067918,128.002089,116.66192740000001
248,Åland Islands,ALA,99.614148,100.5842,101.354238,104.514337,103.324285,101.8782416
8,Albania,ALB,104.588667,107.497139,110.638289,113.430423,116.338895,110.49868260000001
12,Algeria,DZA,105.435418,111.015653,110.86839,110.615938,113.340313,110.25514240000003
20,Andorra,AND,101.932302,104.825577,106.828613,108.49781,109.610608,106.33898200000002
24,Angola,AGO,154.136774,183.757815,211.993524,252.263872,330.372845,226.50496599999997
660,Anguilla,AIA,100.158907,101.441055,104.085485,103.364277,103.328662,102.47567719999999
28,Antigua and Barbuda,ATG,99.949757,102.493493,106.792407,107.64954,109.660099,105.30905920000001
32,Argentina,ARG,119.206012,143.476356,216.878531,340.091177,483.12659,260.5557332
51,Armenia,ARM,98.137571,103.525785,105.20448,104.877866,110.065339,104.36220819999998
533,Aruba,ABW,98.776051,97.810679,108.869107,116.166803,113.29529,106.98358599999999
36,Australia,AUS,102.0419,101.84973,103.387085,106.077455,108.479571,104.3671482
40,Austria,AUT,101.1,104.3,105.1,106.0,109.0723,105.11446000000001
31,Azerbaijan,AZE,124.781488,137.525291,137.288192,142.912168,148.740532,138.24953420000003
44,Bahamas,BHS,98.397182,100.219352,101.374646,100.20996,104.417857,100.92379940000001
48,Bahrain,BHR,97.424711,101.903445,102.993171,105.725642,109.298875,103.46916879999999
50,Bangladesh,BGD,108.2819,116.000498,122.142365,129.304981,136.211324,122.3882136
52,Barbados,BRB,114.376464,121.945129,120.550901,135.506459,140.72365,126.6205206
112,Belarus,BLR,115.694397,120.59984,127.57051,133.005014,141.238025,127.62155720000001
56,Belgium,BEL,102.1507,104.2831,105.8205,106.2867,108.0026,105.30872
84,Belize,BLZ,99.201553,99.340829,98.723919,99.546054,102.805625,99.923596
204,Benin,BEN,98.81456,100.826915,101.594,96.63285,100.80699,99.735063
60,Bermuda,BMU,101.047604,104.336135,107.425362,110.215631,113.105552,107.2260568
64,Bhutan,BTN,108.381377,116.055391,120.706503,125.089988,143.796382,122.80592820000001
68,Bolivia (Plurinational State of),BOL,108.111846,110.954091,113.008593,115.232584,114.329014,112.32722560000002
70,Bosnia and Herzegovina,BIH,97.8111,99.5009,99.6182,101.0793,101.7047,99.94284
72,Botswana,BWA,104.29427,105.430148,105.225589,108.382356,112.275703,107.1216132
76,Brazil,BRA,114.3018,112.1666,116.6876,124.141857,141.626625,121.78489640000001
92,British Virgin Islands,VGB,101.919973,99.123472,100.214482,101.305492,102.396502,100.9919842
96,Brunei Darussalam,BRN,99.021323,101.225778,101.336234,100.926443,105.672775,101.6365106
100,Bulgaria,BGR,100.490613,104.336471,107.007477,114.476757,116.637022,108.589668
854,Burkina Faso,BFA,98.316135,104.243617,103.823713,98.208717,103.618644,101.6421652
108,Burundi,BDI,119.335339,130.898975,111.062494,120.871743,136.130575,123.6598252
132,Cabo Verde,CPV,100.424339,99.32918,100.100364,104.367955,101.698239,101.18401539999999
116,Cambodia,KHM,108.19555,110.232083,112.32988,116.106655,121.605188,113.69387120000002
120,Cameroon,CMR,100.59845,101.965277,104.1522,106.976975,110.712969,104.88117419999999
124,Canada,CAN,98.58939,100.0767,102.5556,105.8136,106.3802,102.683098
136,Cayman Islands,CYM,100.184057,101.47954,106.143281,109.511538,114.866203,106.4369238
148,Chad,TCD,89.025426,90.912186,86.781599,86.673816,91.136924,88.90599019999999
152,Chile,CHL,104.5233,107.0929,110.1873,114.3097,123.0354,111.82972
344,"China, Hong Kong SAR",HKG,104.514294,106.43787,110.41326,125.288914,128.623112,115.05549
446,"China, Macao SAR",MAC,103.063577,105.461414,108.401748,114.152216,114.770662,109.16992339999999
156,"China, mainland",F41,103.5191,104.0011,106.5891,121.4388,118.3608,110.78178
170,Colombia,COL,112.482,113.0231,115.13,121.8075,127.6561,118.01974
174,Comoros,COM,102.279388,104.323054,104.935094,114.541568,107.004944,106.61680959999998
178,Congo,COG,97.303491,98.72583,97.762748,102.808461,101.593885,99.63888299999999
184,Cook Islands,COK,101.237556,101.979903,102.72225,104.39253,107.083538,103.48315539999999
188,Costa Rica,CRI,99.55278,103.0246,103.3305,103.8196,107.7201,103.48951600000001
384,Côte d'Ivoire,CIV,100.23522,103.126809,103.930573,107.557312,110.586129,105.08720860000001
191,Croatia,HRV,99.5,101.7,102.2,104.3,103.4,102.22
531,Curaçao,CUW,102.364741,104.447279,109.813818,117.743481,125.673145,112.0084928
196,Cyprus,CYP,100.78,96.47,98.5,100.27,100.64,99.332
203,Czechia,CZE,100.8,106.4,105.8,110.9,110.8,106.93999999999998
180,Democratic Republic of the Congo,COD,109.950799,116.044473,117.852991,119.661508,121.470025,116.99595919999999
208,Denmark,DNK,100.9,102.9,102.7,103.6,103.8,102.78
262,Djibouti,DJI,108.327675,106.936486,110.019595,117.519103,118.879304,112.33643260000001
212,Dominica,DMA,100.277671,100.692414,102.838259,104.650506,104.497231,102.5912162
214,Dominican Republic,DOM,102.703904,108.375097,108.344358,116.067323,125.775809,112.25329819999999
218,Ecuador,ECU,102.056869,101.812931,101.142593,100.51045,100.451819,101.1949324
818,Egypt,EGY,134.431459,168.258855,187.105598,190.438451,195.77547,175.20196660000002
222,El Salvador,SLV,97.625201,100.057369,100.421334,101.622361,102.001016,100.3454562
226,Equatorial Guinea,GNQ,96.850768,96.842871,99.719255,103.030554,100.991502,99.48699000000002
233,Estonia,EST,100.8273,107.2426,109.1138,112.3214,112.1076,108.32254
748,Eswatini,SWZ,121.538901,124.729533,125.360303,128.711027,133.329266,126.733806
231,Ethiopia,ETH,107.258998,123.818599,137.970999,169.321469,205.400982,148.7542094
242,Fiji,FJI,104.045442,101.181806,106.336351,109.295441,109.963623,106.16453259999999
246,Finland,FIN,99.26,99.19,100.31,102.08,102.27,100.62199999999999
250,France,FRA,100.73,102.18,104.85,107.01,108.21,104.596
254,French Guyana,GUF,100.489681,101.401565,102.860581,104.319596,106.416931,103.09767080000002
258,French Polynesia,PYF,102.024396,102.033623,99.810868,102.482859,104.394847,102.14931859999999
266,Gabon,GAB,100.193024,97.952898,104.745253,107.114183,108.096933,103.6204582
270,Gambia,GMB,112.652111,120.875693,128.593068,138.418569,147.797522,129.6673926
268,Georgia,GEO,103.633275,111.227323,113.078113,127.035973,135.646876,118.124312
276,Germany,DEU,102.3,105.0,106.1,108.1,108.5,106.0
288,Ghana,GHA,109.687808,118.456337,128.767478,136.06047,155.174325,129.6292836
300,Greece,GRC,99.25755,99.73506,100.1118,100.4421,101.2292,100.155142
304,Greenland,GRL,104.098609,105.712945,106.611245,108.590108,108.837465,106.7700744
308,Grenada,GRD,97.731935,98.91626,99.691194,100.349984,101.402337,99.618342
312,Guadeloupe,GLP,102.329646,105.167052,105.990814,107.63834,110.109628,106.24709600000001
316,Guam,GUM,97.370386,100.352757,103.173919,103.496337,107.607173,102.4001144
320,Guatemala,GTM,112.8665,126.804669,132.698445,140.599917,152.80262,133.15443019999998
324,Guinea,GIN,117.248311,134.208705,150.419092,167.93432,188.70395,151.7028756
624,Guinea-Bissau,GNB,104.957661,100.640213,104.792725,105.859959,108.343705,104.9188526
332,Haiti,HTI,118.301076,131.81249,155.233742,193.97349,238.895112,167.643182
340,Honduras,HND,100.481722,105.602798,107.15464,110.37471,114.797458,107.68226559999998
348,Hungary,HUN,100.3883,103.8145,108.4742,114.6414,119.7122,109.40612000000002
352,Iceland,ISL,100.1814,99.66061,104.3018,105.4117,112.6733,104.44576200000002
356,India,IND,105.017313,110.111437,108.308901,121.47525,126.177518,114.2180838
360,Indonesia,IDN,109.845498,111.228529,115.018191,117.127899,123.310831,115.3061896
364,Iran (Islamic Republic of),IRN,110.971952,125.558481,190.769168,245.587773,388.000265,212.1775278
368,Iraq,IRQ,97.375511,97.776646,98.478632,97.174943,97.275227,97.6161918
372,Ireland,IRL,97.06382,95.60786,94.24897,93.3754,91.91943,94.44309600000001
376,Israel,ISR,97.89688,96.981,100.7463,100.848,101.0516,99.50475600000001
380,Italy,ITA,101.1,102.6,103.4,104.2,105.0,103.25999999999999
388,Jamaica,JAM,105.703442,112.771563,115.318634,127.671928,139.341515,120.16141639999998
392,Japan,JPN,103.1296,105.1515,103.5386,105.1098,104.3028,104.24646
400,Jordan,JOR,95.659311,96.055879,100.6889,100.780312,100.2586,98.6886004
398,Kazakhstan,KAZ,117.883086,125.488061,131.625938,144.382136,160.572729,135.99039
404,Kenya,KEN,116.160845,121.591737,124.678383,137.168267,148.979046,129.71565560000002
296,Kiribati,KIR,100.342163,103.081506,103.09966,100.712548,102.750984,101.9973722
414,Kuwait,KWT,102.904167,102.259774,102.165351,103.959382,114.157033,105.08914139999999
417,Kyrgyzstan,KGZ,93.555445,96.093915,93.59001,98.966598,116.391498,99.7194932
418,Lao People's Democratic Republic,LAO,106.070173,103.834914,104.462433,115.198284,120.724951,110.058151
428,Latvia,LVA,103.707,107.6008,108.2293,110.8273,112.0215,108.47718
422,Lebanon,LBN,100.878405,104.59922,111.058604,121.908011,612.286589,210.1461658
426,Lesotho,LSO,114.102507,120.306252,126.652872,136.021313,154.259877,130.2685642
430,Liberia,LBR,114.655207,119.939983,156.491773,192.40867,222.693794,161.2378854
434,Libya,LBY,138.36997,211.213618,193.085108,194.799076,199.677293,187.429013
440,Lithuania,LTU,102.7698,106.6792,106.0702,109.8271,110.1011,107.08948000000001
442,Luxembourg,LUX,102.36,104.8,107.26,108.57,110.57,106.71199999999999
450,Madagascar,MDG,108.527849,124.350403,132.739542,136.881016,143.464897,129.1927414
454,Malawi,MWI,148.255421,154.654156,173.212655,206.617952,228.288427,182.2057222
458,Malaysia,MYS,105.656672,109.678496,110.3488,112.192136,113.784108,110.3320424
462,Maldives,MDV,105.140385,107.021701,103.245532,107.042295,107.41174,105.97233059999999
466,Mali,MLI,97.700714,100.691651,97.42881,94.593246,97.710424,97.624969
470,Malta,MLT,105.871478,107.277313,111.978916,114.311594,115.39866,110.96759219999998
474,Martinique,MTQ,101.739611,103.281121,104.097214,105.910754,107.512715,104.508283
478,Mauritania,MRT,104.729741,106.609795,111.83439,114.636994,117.657122,111.0936084
480,Mauritius,MUS,98.893953,104.273497,103.209065,106.459744,112.046849,104.9766216
484,Mexico,MEX,106.7546,115.6086,121.93,125.0005,132.2561,120.30996
583,Micronesia (Federated States of),FSM,97.775163,95.920312,96.735493,96.619755,97.582569,96.9266584
496,Mongolia,MNG,94.891692,101.814455,111.113693,120.358801,130.631118,111.76195179999999
499,Montenegro,MNE,100.176025,100.118402,101.629954,104.888964,105.893417,102.54135240000001
500,Montserrat,MSR,99.809416,99.113071,99.032335,101.07091,103.149852,100.43511679999999
504,Morocco,MAR,102.915825,105.673223,102.672525,103.321325,101.545796,103.2257388
508,Mozambique,MOZ,145.898725,148.522253,148.776964,160.659254,173.56039,155.4835172
104,Myanmar,MMR,109.333835,113.696621,121.901377,131.434593,132.476227,121.76853059999999
516,Namibia,NAM,114.988466,117.774322,123.856492,126.020767,135.637466,123.6555026
524,Nepal,NPL,109.808865,112.880441,113.360375,124.398854,130.925954,118.2748978
528,Netherlands,NLD,101.67,104.21,105.28,109.19,109.84,106.03799999999998
540,New Caledonia,NCL,103.322153,104.345869,99.949376,100.589198,105.278181,102.69695540000001
554,New Zealand,NZL,97.491056,99.661719,99.944849,102.021134,104.569303,100.7376122
558,Nicaragua,NIC,100.484804,106.18326,108.715382,114.51457,119.270553,109.83371380000001
562,Niger,NER,97.076114,103.102902,98.440858,95.751217,101.738158,99.2218498
566,Nigeria,NGA,122.586982,146.32575,166.099407,190.323452,227.344998,170.5361178
807,North Macedonia,MKD,97.43726,99.431827,100.03379,100.959197,104.130737,100.3985622
578,Norway,NOR,100.3,100.9,104.3,103.9,106.8,103.23999999999998
512,Oman,OMN,98.182259,99.918291,99.43606,100.593415,100.496969,99.7253988
586,Pakistan,PAK,102.867819,108.177304,108.227914,129.513161,146.738071,119.1048538
585,Palau,PLW,97.847801,100.884119,103.724546,104.899895,105.193732,102.5100186
275,Palestine,PSE,97.413001,95.243105,96.934076,99.602874,97.520775,97.3427662
591,Panama,PAN,101.534658,100.249409,100.986153,100.580114,100.804439,100.8309546
598,Papua New Guinea,PNG,106.739014,108.130052,111.078005,113.668646,115.495266,111.0221966
600,Paraguay,PRY,107.890026,116.93755,116.235925,120.445677,124.421554,117.18614640000001
604,Peru,PER,105.528925,103.763002,106.220434,106.490989,108.996572,106.19998439999999
608,Philippines,PHL,103.251289,106.870966,114.019828,116.01065,121.530658,112.33667820000001
616,Poland,POL,101.9992,107.4939,108.4999,115.8519,116.5484,110.07865999999999
620,Portugal,PRT,100.2146,102.5012,102.8113,102.9757,104.5408,102.60872000000002
630,Puerto Rico,PRI,100.416426,101.344238,102.066304,101.48427,102.556808,101.57360919999999
634,Qatar,QAT,97.062449,102.504279,98.694998,99.664633,99.047515,99.39477480000001
410,Republic of Korea,KOR,104.0209,104.4411,108.8606,109.0106,115.2986,108.32636
498,Republic of Moldova,MDA,110.151424,120.476397,123.068281,138.292459,140.583159,126.51434400000001
638,Réunion,REU,99.631112,102.074382,104.970109,104.970109,105.422566,103.4136556
642,Romania,ROU,97.743456,101.721614,104.874985,110.202634,113.773199,105.6631776
643,Russian Federation,RUS,107.369,108.1254,113.8306,116.9295,125.9086,114.43262
646,Rwanda,RWA,125.948148,118.192012,110.014264,136.213369,141.708021,126.4151628
659,Saint Kitts and Nevis,KNA,92.242672,95.506042,97.223605,98.883916,97.070933,96.18543360000001
662,Saint Lucia,LCA,96.683651,96.394506,99.997207,100.6837,101.582574,99.0683276
670,Saint Vincent and the Grenadines,VCT,100.573933,104.521528,104.252374,105.149554,107.930814,104.48564059999998
882,Samoa,WSM,105.513761,110.697788,109.340413,114.669831,105.476923,109.1397432
674,San Marino,SMR,103.721869,107.010038,113.425441,115.733852,117.069433,111.39212659999998
678,Sao Tome and Principe,STP,103.033646,111.819651,122.654136,134.360492,150.118993,124.39738360000001
682,Saudi Arabia,SAU,97.33588,97.83605,104.6926,107.777,121.5005,105.828406
686,Senegal,SEN,110.203468,106.38809,108.246612,108.512115,112.592996,109.1886562
688,Serbia,SRB,98.211741,102.262252,104.997662,107.101824,109.100777,104.3348512
690,Seychelles,SYC,99.164816,101.364722,98.711694,100.535582,108.741971,101.703757
694,Sierra Leone,SLE,123.603262,145.767098,164.383768,173.23978,199.379299,161.2746414
702,Singapore,SGP,102.729013,103.984887,105.377708,106.840594,109.299263,105.64629300000001
703,Slovakia,SVK,97.04114,103.3361,104.1848,109.631,110.2676,104.892128
705,Slovenia,SVN,101.11,104.07,104.65,108.06,109.15,105.40800000000002
90,Solomon Islands,SLB,97.272382,97.543941,100.423406,102.225621,97.820207,99.0571114
706,Somalia,SOM,103.039205,109.730318,116.2677,120.683446,122.178646,114.379863
710,South Africa,ZAF,115.8968,120.7918,124.1032,128.9982,136.6287,125.28374000000001
728,South Sudan,SSD,936.171012,1728.893643,2247.077105,4540.404217,6476.427852,3185.7947658000003
724,Spain,ESP,101.6783,103.4037,104.7927,106.5367,107.7488,104.83203999999998
144,Sri Lanka,LKA,107.738321,121.476764,116.053694,126.086374,135.486361,121.3683028
729,Sudan,SDN,131.420713,173.096308,324.047105,529.102963,1621.521215,555.8376608000001
740,Suriname,SUR,185.49768,208.451762,220.933045,231.836234,386.776291,246.69900239999998
752,Sweden,SWE,101.6478,104.5453,106.5675,109.2784,110.371,106.482
756,Switzerland,CHE,99.67825,100.3039,101.7886,101.0811,100.6567,100.70171
760,Syrian Arab Republic,SYR,184.817293,183.819502,190.42496,264.93916,722.865774,309.3733378
762,Tajikistan,TJK,108.533922,116.777867,122.6372,136.263555,153.841554,127.61081959999999
764,Thailand,THA,101.502986,101.702837,102.622863,104.402913,105.842953,103.21491040000001
626,Timor-Leste,TLS,98.815696,99.617446,101.120727,101.321165,103.525978,100.8802024
768,Togo,TGO,100.259319,99.172933,102.054219,98.785612,106.163595,101.2871356
776,Tonga,TON,103.049113,109.235324,116.659084,119.487183,123.965006,114.479142
780,Trinidad and Tobago,TTO,109.562898,113.475858,113.573682,112.399794,117.486643,113.299775
788,Tunisia,TUN,104.667228,112.874418,119.667987,126.6,132.1,119.1819266
792,Türkiye,TUR,109.0447,124.0791,155.2405,172.1427,207.627,153.6268
800,Uganda,UGA,111.995693,115.747862,112.810308,115.586914,114.40626,114.10940740000001
804,Ukraine,UKR,112.097771,131.963987,142.239616,149.027759,156.376391,138.34110479999998
784,United Arab Emirates,ARE,100.998062,104.268174,105.564297,104.435251,108.084044,104.6699656
826,United Kingdom of Great Britain and Northern Ireland,GBR,97.9,101.9,102.6,104.3,102.9,101.92
834,United Republic of Tanzania,TZA,110.779204,117.639741,118.796311,126.277242,130.034219,120.70534339999999
840,United States of America,USA,97.5866,98.46566,99.05235,99.76737,103.7063,99.715656
858,Uruguay,URY,110.902589,116.519395,124.416806,142.088241,155.556846,129.89677540000002
860,Uzbekistan,UZB,110.907849,139.447995,160.223543,190.232668,219.29745,164.021901
548,Vanuatu,VUT,104.766185,111.462978,114.94016,123.246759,140.246312,118.93247879999998
862,Venezuela (Bolivarian Republic of),VEN,953.574367,11086.187138,15946997.067729,1288889115.455544,38753710727.95829,8011711776.048613
704,Viet Nam,VNM,103.139639,101.286235,106.442999,116.199618,119.31644,109.27698620000001
887,Yemen,YEM,121.903092,128.044919,134.901926,143.908187,152.999508,136.35152639999998
894,Zambia,ZMB,125.120587,131.148498,141.75205,163.363667,196.354507,151.54786180000002
716,Zimbabwe,ZWE,96.878032,103.383454,158.767447,1300.732638,5806.528164,1493.257947
