ISO3_Code,Country_Name,M49_Code,Access_To_Electricity_2016,Access_To_Electricity_2017,Access_To_Electricity_2018,Access_To_Electricity_2019,Access_To_Electricity_2020,Access_To_Electricity_Avg
AFG,Afghanistan,4.0,97.69999695,97.69999695,96.61613464,97.69999695,97.69999695,97.483224488
ALB,Albania,8.0,99.88999939,99.88999939,100.0,100.0,100.0,99.95599975600001
DZA,Algeria,12.0,99.35025024,99.63549042,99.69783783,99.5,99.80413055,99.59754180799999
ASM,American Samoa,16.0,,,,,,
AND,Andorra,20.0,100.0,100.0,100.0,100.0,100.0,100.0
AGO,Angola,24.0,41.81312943,43.01325989,45.29000092,45.64279938,46.89060974,44.52995987199999
ATG,Antigua and Barbuda,28.0,100.0,100.0,100.0,100.0,100.0,100.0
ARG,Argentina,32.0,99.84957886,100.0,99.98957825,100.0,100.0,99.96783142199999
ARM,Armenia,51.0,99.80000305,99.69999695,99.90000153,100.0,100.0,99.880000306
ABW,Aruba,533.0,100.0,100.0,100.0,100.0,100.0,100.0
AUS,Australia,36.0,100.0,100.0,100.0,100.0,100.0,100.0
AUT,Austria,40.0,100.0,100.0,100.0,100.0,100.0,100.0
AZE,Azerbaijan,31.0,100.0,100.0,100.0,100.0,100.0,100.0
BHS,Bahamas,44.0,100.0,100.0,100.0,100.0,100.0,100.0
BHR,Bahrain,48.0,100.0,100.0,100.0,100.0,100.0,100.0
BGD,Bangladesh,50.0,75.91999817,88.0,91.80000305,92.19999695,96.19999695,88.823999024
BRB,Barbados,52.0,100.0,100.0,100.0,100.0,100.0,100.0
BLR,Belarus,112.0,100.0,100.0,100.0,100.0,100.0,100.0
BEL,Belgium,56.0,100.0,100.0,100.0,100.0,100.0,100.0
BLZ,Belize,84.0,93.22231293,94.18901062,91.72000122,92.72000122,97.11333466,93.79293213
BEN,Benin,204.0,37.09524536,34.5,39.24691772,40.32868958,41.41095734,38.516362
BMU,Bermuda,60.0,100.0,100.0,100.0,100.0,100.0,100.0
BTN,Bhutan,64.0,99.58979034,97.69999695,99.97436523,100.0,100.0,99.45283050399999
BOL,Bolivia (Plurinational State of),68.0,91.80000305,91.80000305,92.80000305,95.08000183,97.55412292,93.80682678000001
BIH,Bosnia and Herzegovina,70.0,100.0,100.0,100.0,100.0,100.0,100.0
BWA,Botswana,72.0,64.17505646,67.40000153,68.22926331,69.95973969,71.99475861,68.35176392000001
BRA,Brazil,76.0,99.69999695,99.80000305,99.69999695,99.80000305,100.0,99.8
VGB,British Virgin Islands,92.0,100.0,100.0,100.0,100.0,100.0,100.0
BRN,Brunei Darussalam,96.0,100.0,100.0,100.0,100.0,100.0,100.0
BGR,Bulgaria,100.0,100.0,100.0,100.0,100.0,99.69999695,99.93999939
BFA,Burkina Faso,854.0,16.64105606,17.21404266,14.39999962,18.37485504,18.95723915,17.117438506000003
BDI,Burundi,108.0,9.348409653,9.300000191,10.88490868,11.35652828,11.73555565,10.5250804908
CPV,Cabo Verde,132.0,87.5449295,88.69096375,90.41175079,91.40000153,94.16174316,90.441877746
KHM,Cambodia,116.0,69.54431152,89.06999969,81.07565308,84.0,86.40000153,82.01799316399999
CMR,Cameroon,120.0,59.80877686,61.03086472,62.20000076,63.48987961,64.72136688,62.250177766
CAN,Canada,124.0,100.0,100.0,100.0,100.0,100.0,100.0
CYM,Cayman Islands,136.0,100.0,100.0,100.0,100.0,100.0,100.0
CAF,Central African Republic,140.0,13.53381634,14.29954147,14.84237576,14.30000019,15.46508408,14.488163568
TCD,Chad,148.0,9.263847351,10.89999962,10.11404037,8.399999619,11.08011723,9.951600838
CHL,Chile,152.0,100.0,99.69999695,100.0,100.0,100.0,99.93999939
CHN,China,159.0,100.0,100.0,100.0,100.0,100.0,100.0
COL,Colombia,170.0,98.40000153,98.5,98.5,99.75592041,100.0,99.031184388
COM,Comoros,174.0,76.99304199,79.42300415,81.85890961,84.29777527,86.73713684,81.861973572
COD,Democratic Republic of the Congo,180.0,17.04183769,17.91650963,18.56829071,19.10000038,19.10000038,18.345327758
COG,Congo,178.0,45.50832748,46.57394791,47.41667557,48.40747452,49.51710129,47.484705354
CRI,Costa Rica,188.0,99.5,99.59999847,99.69999695,99.70999908,99.90000153,99.681999206
CIV,Côte d'Ivoire,384.0,64.30000305,65.59999847,67.14739227,68.45955658,69.67912292,67.03721465800001
HRV,Croatia,191.0,100.0,100.0,100.0,100.0,100.0,100.0
CUB,Cuba,192.0,98.95478821,99.23503113,99.52120972,99.80000305,100.0,99.502206422
CUW,Curaçao,531.0,100.0,100.0,100.0,100.0,100.0,100.0
CYP,Cyprus,196.0,100.0,100.0,100.0,100.0,100.0,100.0
CZE,Czechia,203.0,100.0,100.0,100.0,100.0,100.0,100.0
DNK,Denmark,208.0,100.0,100.0,100.0,100.0,100.0,100.0
DJI,Djibouti,262.0,58.67544556,60.20000076,60.5641861,61.21192932,61.76708221,60.48372879
DMA,Dominica,212.0,99.98353577,100.0,100.0,100.0,100.0,99.996707154
DOM,Dominican Republic,214.0,98.90000153,100.0,98.90000153,99.0,100.0,99.360000612
ECU,Ecuador,218.0,98.69999695,99.19999695,98.69999695,99.08999634,98.84999847,98.907997132
EGY,Egypt,818.0,100.0,100.0,100.0,100.0,100.0,100.0
SLV,El Salvador,222.0,96.0,96.80000305,97.0,97.36000061,100.0,97.43200073199999
GNQ,Equatorial Guinea,226.0,66.17035675,66.30863953,66.45285797,66.60004425,66.74772644,66.455924988
ERI,Eritrea,232.0,47.24803925,48.47274399,49.7033844,50.93699265,52.1710968,49.70645141800001
EST,Estonia,233.0,100.0,100.0,100.0,100.0,100.0,100.0
SWZ,Eswatini,748.0,63.43000031,73.5,73.91577911,76.86943817,79.73049927,73.48914337199999
ETH,Ethiopia,231.0,42.90000153,44.29999924,44.94060135,48.063591,51.0939827,46.259635164
FRO,Faroe Islands,234.0,100.0,100.0,100.0,100.0,100.0,100.0
FJI,Fiji,242.0,96.56174469,96.0,99.37250519,99.71588135,100.0,98.33002624600002
FIN,Finland,246.0,100.0,100.0,100.0,100.0,100.0,100.0
FRA,France,250.0,100.0,100.0,100.0,100.0,100.0,100.0
PYF,French Polynesia,258.0,100.0,100.0,100.0,100.0,100.0,100.0
GAB,Gabon,266.0,88.2038269,86.26999664,89.8815155,90.72629547,91.57156372,89.33063964599998
GMB,Gambia,270.0,56.32740784,56.20000076,60.29999924,62.09999847,62.27306747,59.44009475600001
GEO,Georgia,268.0,100.0,100.0,99.90000153,100.0,100.0,99.980000306
DEU,Germany,276.0,100.0,100.0,100.0,100.0,100.0,100.0
GHA,Ghana,288.0,79.30000305,79.0,80.40000153,83.5,85.87355042,81.614711
GIB,Gibraltar,292.0,100.0,100.0,100.0,100.0,100.0,100.0
GRC,Greece,300.0,100.0,100.0,100.0,100.0,100.0,100.0
GRL,Greenland,304.0,100.0,100.0,100.0,100.0,100.0,100.0
GRD,Grenada,308.0,91.73786926,92.19395447,92.30000305,93.12096405,93.58644867,92.5878479
GUM,Guam,316.0,100.0,100.0,100.0,100.0,100.0,100.0
GTM,Guatemala,320.0,91.81558228,93.30000305,94.42923737,95.74200439,97.05526733,94.46841888399999
GIN,Guinea,324.0,33.5,35.40000153,45.0,42.20000076,44.66867828,40.153736114
GNB,Guinea-Bissau,624.0,22.96879196,26.0,28.49505615,30.96155739,33.33546829,28.352174758
GUY,Guyana,328.0,89.17035675,90.29581451,91.19837952,91.91575623,92.5405426,91.024169922
HTI,Haiti,332.0,40.40000153,43.74927139,44.96234512,45.99023438,46.92553329,44.405477142
HND,Honduras,340.0,91.59999847,86.5,91.59999847,91.09999847,93.20671082,90.801341246
HKG,"China, Hong Kong SAR",344.0,100.0,100.0,100.0,100.0,100.0,100.0
HUN,Hungary,348.0,100.0,100.0,100.0,100.0,100.0,100.0
ISL,Iceland,352.0,100.0,100.0,100.0,100.0,100.0,100.0
IND,India,356.0,89.21779633,92.12494659,95.69999695,97.30826569,99.0,94.670201112
IDN,Indonesia,360.0,97.62000275,98.13999939,98.51000214,98.84999847,96.94999695,98.01399993999999
IRN,Iran (Islamic Republic of),364.0,99.94999695,99.94000244,100.0,100.0,100.0,99.977999878
IRQ,Iraq,368.0,99.60430145,99.87207031,99.90000153,99.99200439,100.0,99.873675536
IRL,Ireland,372.0,100.0,100.0,100.0,100.0,100.0,100.0
IMN,Isle of Man,833.0,100.0,100.0,100.0,100.0,100.0,100.0
ISR,Israel,376.0,100.0,100.0,100.0,100.0,100.0,100.0
ITA,Italy,380.0,100.0,100.0,100.0,100.0,100.0,100.0
JAM,Jamaica,388.0,96.7379837,97.60958099,98.48712158,99.36762238,100.0,98.44046173000001
JPN,Japan,392.0,100.0,100.0,100.0,100.0,100.0,100.0
JOR,Jordan,400.0,99.95882416,100.0,99.90000153,100.0,99.90000153,99.951765444
KAZ,Kazakhstan,398.0,100.0,100.0,100.0,100.0,100.0,100.0
KEN,Kenya,404.0,53.09999847,55.97640991,61.2845726,69.69999695,71.4379425,62.299784086
KIR,Kiribati,296.0,92.79961395,86.17644501,88.10316467,90.03285217,91.96302795,89.81502075
PRK,Democratic People's Republic of Korea,408.0,42.96073532,45.2928772,47.63095474,49.97200012,52.31354523,47.634022521999995
KOR,Republic of Korea,410.0,100.0,100.0,100.0,100.0,100.0,100.0
KWT,Kuwait,414.0,100.0,100.0,100.0,100.0,100.0,100.0
KGZ,Kyrgyzstan,417.0,99.70999908,100.0,100.0,99.87423706,99.98104858,99.91305694399999
LAO,Lao People's Democratic Republic,418.0,90.54953003,93.59999847,97.79715729,99.09208679,100.0,96.207754516
LVA,Latvia,428.0,100.0,100.0,100.0,100.0,100.0,100.0
LBN,Lebanon,422.0,99.72562408,99.87982941,99.69999695,99.97486877,100.0,99.856063842
LSO,Lesotho,426.0,35.07159042,33.70000076,47.0,44.50020981,47.35273743,41.524907684
LBR,Liberia,430.0,17.70000076,24.20000076,22.87913322,23.10000038,27.53470993,23.08276901
LBY,Libya,434.0,71.83022308,70.24076843,67.0,68.64240265,69.70735168,69.484149168
LIE,Liechtenstein,438.0,100.0,100.0,100.0,100.0,100.0,100.0
LTU,Lithuania,440.0,100.0,100.0,100.0,100.0,100.0,100.0
LUX,Luxembourg,442.0,100.0,100.0,100.0,100.0,100.0,100.0
MAC,"China, Macao SAR",446.0,100.0,100.0,100.0,100.0,100.0,100.0
MDG,Madagascar,450.0,22.89999962,24.10000038,36.5,31.04000092,33.7350769,29.655015564000003
MWI,Malawi,454.0,11.0,12.69999981,18.02000046,11.19999981,14.86676884,13.557353784
MYS,Malaysia,458.0,99.90000153,99.95248413,99.99224091,100.0,100.0,99.96894531400001
MDV,Maldives,462.0,100.0,99.80000305,100.0,100.0,100.0,99.96000061
MLI,Mali,466.0,38.78982162,34.77999878,50.90000153,47.83627701,50.56141663,44.573503114
MLT,Malta,470.0,100.0,100.0,100.0,100.0,100.0,100.0
MHL,Marshall Islands,584.0,93.36882782,94.29734802,95.91629028,97.53820038,99.16060638,96.05625457599999
MRT,Mauritania,478.0,41.32161713,42.90000153,44.3121376,45.83003235,47.34841919,44.34244156
MUS,Mauritius,480.0,99.48001099,99.61000061,99.44884491,100.0,99.66165161,99.640101624
MEX,Mexico,484.0,99.5,100.0,99.5,99.59999847,99.40000153,99.6
FSM,Micronesia (Federated States of),583.0,75.96201324,77.94390869,79.70291138,81.2767334,82.92591858,79.56229705800001
MDA,Republic of Moldova,498.0,100.0,99.98000336,99.98999786,100.0,100.0,99.994000244
MCO,Monaco,492.0,100.0,100.0,100.0,100.0,100.0,100.0
MNG,Mongolia,496.0,89.83840942,92.51256561,98.09999847,97.2299118,98.09999847,95.156176754
MNE,Montenegro,499.0,100.0,100.0,100.0,100.0,100.0,100.0
MAR,Morocco,504.0,97.80000305,100.0,98.09999847,99.59999847,100.0,99.099999998
MOZ,Mozambique,508.0,26.246521,24.29999924,31.10000038,29.67444992,30.60383224,28.384960556
MMR,Myanmar,104.0,55.59999847,69.81483459,66.22727966,68.35852814,70.39719391,66.079566954
NAM,Namibia,516.0,49.70000076,52.5,54.00289536,55.17708969,56.2586937,53.527735901999996
NRU,Nauru,520.0,99.712883,99.87004089,99.92822266,100.0,100.0,99.90222931000001
NPL,Nepal,524.0,90.69999695,87.89634705,93.91999817,89.90000153,89.90000153,90.463269046
NLD,Netherlands,528.0,100.0,100.0,100.0,100.0,100.0,100.0
NCL,New Caledonia,540.0,100.0,100.0,100.0,100.0,100.0,100.0
NZL,New Zealand,554.0,100.0,100.0,100.0,100.0,100.0,100.0
NIC,Nicaragua,558.0,84.64011383,85.98983765,87.11667633,88.05832672,88.90737915,86.942466736
NER,Niger,562.0,17.27152061,18.04952621,17.60000038,18.97457123,19.25190926,18.229505538
NGA,Nigeria,566.0,59.29999924,54.40000153,56.5,55.40000153,55.40000153,56.200000765999995
MKD,North Macedonia,807.0,100.0,100.0,99.80000305,100.0,100.0,99.96000061
MNP,Northern Mariana Islands,580.0,100.0,100.0,100.0,100.0,100.0,100.0
NOR,Norway,578.0,100.0,100.0,100.0,100.0,100.0,100.0
OMN,Oman,512.0,100.0,100.0,100.0,100.0,100.0,100.0
PAK,Pakistan,586.0,71.5502243,70.79000092,72.78310394,74.12769318,75.37969208,72.92614288399999
PLW,Palau,585.0,100.0,100.0,100.0,100.0,100.0,100.0
PAN,Panama,591.0,93.16477203,93.69999695,94.9285202,95.81632996,96.70463562,94.862850952
PNG,Papua New Guinea,598.0,49.40000153,54.40000153,55.72738647,59.66297531,60.40000153,55.918073273999994
PRY,Paraguay,600.0,98.40000153,99.30000305,99.59999847,99.69999695,100.0,99.4
PER,Peru,604.0,94.19999695,94.80000305,95.19999695,95.55136108,99.31181335,95.812634276
PHL,Philippines,608.0,92.06650543,93.0,94.44826508,95.64508057,96.84238434,94.400447084
POL,Poland,616.0,100.0,100.0,100.0,100.0,100.0,100.0
PRT,Portugal,620.0,100.0,100.0,100.0,100.0,100.0,100.0
PRI,Puerto Rico,630.0,100.0,100.0,100.0,100.0,100.0,100.0
QAT,Qatar,634.0,100.0,100.0,100.0,100.0,100.0,100.0
ROU,Romania,642.0,99.09999847,100.0,100.0,100.0,100.0,99.819999694
RUS,Russian Federation,643.0,100.0,100.0,100.0,100.0,100.0,100.0
RWA,Rwanda,646.0,29.37000084,34.09999847,36.96815109,40.36860657,46.59999847,37.481351088000004
WSM,Samoa,882.0,99.62329102,96.80000305,99.99447632,99.19999695,100.0,99.123553468
SMR,San Marino,674.0,100.0,100.0,100.0,100.0,100.0,100.0
STP,Sao Tome and Principe,678.0,69.32051849,74.26999664,71.0,74.96720123,76.55908966,73.22336120399999
SAU,Saudi Arabia,682.0,99.90000153,99.93000031,100.0,100.0,100.0,99.96600036800001
SEN,Senegal,686.0,64.5,61.70000076,66.0,70.40000153,70.36894226,66.59378891
SRB,Serbia,688.0,100.0,100.0,100.0,99.80000305,100.0,99.96000061
SYC,Seychelles,690.0,100.0,100.0,100.0,100.0,100.0,100.0
SLE,Sierra Leone,694.0,20.29999924,23.39999962,26.10000038,22.70000076,26.20088577,23.740177154
SGP,Singapore,702.0,100.0,100.0,100.0,100.0,100.0,100.0
SXM,Sint Maarten (Dutch part),534.0,100.0,100.0,100.0,100.0,100.0,100.0
SVK,Slovakia,703.0,100.0,100.0,100.0,100.0,100.0,100.0
SVN,Slovenia,705.0,100.0,100.0,100.0,100.0,100.0,100.0
SLB,Solomon Islands,90.0,58.32719421,62.90000153,66.17976379,69.80941772,73.34648132,66.112571714
SOM,Somalia,706.0,51.11323547,52.09999847,50.7649765,49.20000076,49.73086929,50.581816098000004
ZAF,South Africa,710.0,83.90000153,84.40000153,84.69999695,85.0,84.38553619,84.47710724
SSD,South Sudan,728.0,5.117367744,4.199999809,6.173169613,6.707006931,7.241338253,5.88777647
ESP,Spain,724.0,100.0,100.0,100.0,100.0,100.0,100.0
LKA,Sri Lanka,144.0,97.5,97.5,99.56487274,99.75856781,100.0,98.86468811
KNA,Saint Kitts and Nevis,659.0,100.0,100.0,100.0,100.0,100.0,100.0
LCA,Saint Lucia,662.0,97.63970947,98.27980804,98.87739563,99.50218201,100.0,98.85981903000001
MAF,Saint-Martin (French part),663.0,100.0,100.0,100.0,100.0,100.0,100.0
VCT,Saint Vincent and the Grenadines,670.0,99.80084229,99.97770691,100.0,100.0,100.0,99.95570984
SDN,Sudan,729.0,48.84940338,50.75471878,52.44700241,53.96253967,55.38970184,52.280673216000004
SUR,Suriname,740.0,95.8163147,96.69633484,97.40000153,97.82541656,98.20477295,97.18856811600001
SWE,Sweden,752.0,100.0,100.0,100.0,100.0,100.0,100.0
CHE,Switzerland,756.0,100.0,100.0,100.0,100.0,100.0,100.0
SYR,Syrian Arab Republic,760.0,89.66923523,89.53094482,86.0,89.26921082,89.14031982,88.721942138
TJK,Tajikistan,762.0,99.20831299,99.30000305,99.30000305,99.63320923,99.77929688,99.44416504
TZA,United Republic of Tanzania,834.0,32.79999924,32.25117493,35.04802322,37.65968704,39.90000153,35.531777192
THA,Thailand,764.0,99.84996033,99.90000153,99.81999969,99.90000153,100.0,99.893992616
TLS,Timor-Leste,626.0,76.5,79.77896118,85.38140106,90.79865265,96.1233139,85.716465758
TGO,Togo,768.0,46.76501083,48.0,50.0,52.36310959,53.99743271,50.225110625999996
TON,Tonga,776.0,97.01999664,98.36157227,99.13256836,98.40000153,100.0,98.58282776
TTO,Trinidad and Tobago,780.0,100.0,100.0,100.0,100.0,100.0,100.0
TUN,Tunisia,788.0,100.0,100.0,99.80000305,100.0,100.0,99.96000061
TUR,Türkiye,792.0,100.0,100.0,100.0,100.0,100.0,100.0
TKM,Turkmenistan,795.0,99.98989868,99.99624634,100.0,99.90000153,100.0,99.97722931
TCA,Turks and Caicos Islands,796.0,100.0,100.0,100.0,100.0,99.40000153,99.880000306
TUV,Tuvalu,798.0,97.30000305,98.85383606,99.06538391,99.69999695,99.68923187,98.92169036800001
UGA,Uganda,800.0,26.70000076,32.5211525,41.91999817,41.29999924,42.07441711,36.90311355600001
UKR,Ukraine,804.0,100.0,100.0,100.0,100.0,100.0,100.0
ARE,United Arab Emirates,784.0,100.0,100.0,100.0,100.0,100.0,100.0
GBR,United Kingdom of Great Britain and Northern Ireland,826.0,100.0,100.0,100.0,100.0,100.0,100.0
USA,United States of America,840.0,100.0,100.0,100.0,100.0,100.0,100.0
URY,Uruguay,858.0,99.69999695,99.80000305,99.80000305,99.90000153,100.0,99.840000916
UZB,Uzbekistan,860.0,100.0,100.0,100.0,100.0,100.0,100.0
VUT,Vanuatu,548.0,57.81999969,62.79999924,61.75451279,64.59018707,67.33326721,62.85959319999999
VEN,Venezuela (Bolivarian Republic of),862.0,99.40000153,99.19999695,99.91120148,99.97681427,100.0,99.697602846
VNM,Viet Nam,704.0,99.19999695,100.0,100.0,99.40000153,100.0,99.719999696
VIR,United States Virgin Islands,850.0,100.0,100.0,100.0,100.0,100.0,100.0
PSE,Palestine,275.0,100.0,99.69999695,100.0,100.0,100.0,99.93999939
YEM,Yemen,887.0,68.8595047,79.19999695,62.0,72.75107574,73.75792694,71.313700866
ZMB,Zambia,894.0,35.42545319,40.29999924,40.31789017,43.0,44.5244751,40.713563539999996
ZWE,Zimbabwe,716.0,42.56172943,44.17863464,45.57264709,46.78147507,52.74766922,46.36843109
