ISO3_Code,Country_Name,M49_Code,Debt_2016,Debt_2017,Debt_2018,Debt_2019,Debt_2020,Debt_Avg
ARG,Argentina,32.0,34.9283398192354,51.7302547597257,51.5485855961066,50.8588557905061,41.086628253414,46.03053284379756
AUS,Australia,36.0,,,,,,
BRA,Brazil,76.0,51.0110829785495,34.6166157924529,33.1539901737395,53.229235209566,50.6392925612242,44.53004334310642
CHN,China,159.0,6.91882923926506,7.5868436124169,8.2527661040724,9.49476818208949,9.20632202200021,8.291905831968812
FRA,France,250.0,,,,,,
DEU,Germany,276.0,,,,,,
IND,India,356.0,17.2633780366708,10.0846698006647,11.3975539281985,9.00225355052496,15.0286920555737,12.555309474326531
IDN,Indonesia,360.0,37.4785752795688,29.4350871765661,25.0724280402359,39.4126775704057,36.7400391896815,33.6277614512916
ITA,Italy,380.0,,,,,,
JPN,Japan,392.0,,,,,,
KOR,Republic of Korea,410.0,,,,,,
MEX,Mexico,484.0,19.29604866596,14.652121197327,11.8772512251083,12.3848532244009,15.5348478395627,14.749024430471781
NLD,Netherlands,528.0,,,,,,
RUS,Russian Federation,643.0,25.0615584553868,17.7477650917829,19.5907817148807,17.9656609588077,22.9573825279657,20.66462974976476
SAU,Saudi Arabia,682.0,,,,,,
ESP,Spain,724.0,,,,,,
CHE,Switzerland,756.0,,,,,,
TUR,Türkiye,792.0,37.2405633234639,38.0503192065151,34.6047003530228,34.5943491794062,41.3420819607536,37.16640280463232
GBR,United Kingdom of Great Britain and Northern Ireland,826.0,,,,,,
USA,United States of America,840.0,,,,,,
AFG,Afghanistan,4.0,4.37308774385413,4.38145622949794,3.33306849551252,2.97359588967048,2.67298474456493,3.546838620620001
ALB,Albania,8.0,15.1681195578845,11.1409381354262,20.6974896534476,12.2686089764318,29.8756051740197,17.83015229944196
DZA,Algeria,12.0,1.01403802715903,0.599990207704779,0.47687970503853,0.491759309197809,0.678335057431008,0.6522004613062312
ASM,American Samoa,16.0,,,,,,
AND,Andorra,20.0,,,,,,
AGO,Angola,24.0,38.2657270111209,25.5215502580774,26.4030252565204,32.4364344053484,39.2612530963817,32.37759800548976
ATG,Antigua and Barbuda,28.0,,,,,,
ARM,Armenia,51.0,33.1048496686526,26.4180845119003,28.4903047693578,31.1301023688744,34.8613284069874,30.800933945154497
ABW,Aruba,533.0,,,,,,
AUT,Austria,40.0,,,,,,
AZE,Azerbaijan,31.0,9.53685764011544,10.5684138125178,9.89261548458163,8.57623437651063,10.7586384094279,9.86655194463068
BHS,Bahamas,44.0,,,,,,
BHR,Bahrain,48.0,,,,,,
BGD,Bangladesh,50.0,4.63563369700074,5.45458910037808,6.44421178339813,12.787338368337,9.9149896807686,7.847352525976511
BRB,Barbados,52.0,,,,,,
BLR,Belarus,112.0,20.318907338682,11.7755887758454,13.3189514000796,10.4516456803401,11.2243412876408,13.417886896517581
BEL,Belgium,56.0,,,,,,
BLZ,Belize,84.0,10.4917684199271,10.0634347639991,10.5260465943405,9.36643024652193,11.0205833420491,10.293652673367545
BEN,Benin,204.0,2.98886378557894,3.03114425514082,5.85223387369348,13.8775106350539,,6.437438137366785
BMU,Bermuda,60.0,,,,,,
BTN,Bhutan,64.0,16.5847794392432,11.0524403566625,10.6267601251237,7.55413125406875,7.14159058900844,10.591940352821318
BOL,Bolivia (Plurinational State of),68.0,9.21953909473769,10.024147779664,9.51958546767566,10.373980979727,15.3190959451304,10.89126985338695
BIH,Bosnia and Herzegovina,70.0,18.4389221386829,16.9156035197412,22.1510649961937,17.4696754640971,22.6348082848703,19.52201488071704
BWA,Botswana,72.0,1.99652588385784,2.45952711644385,2.37922094452262,3.02761671102525,3.79120165059499,2.73081846128891
VGB,British Virgin Islands,92.0,,,,,,
BRN,Brunei Darussalam,96.0,,,,,,
BGR,Bulgaria,100.0,22.7628183680481,21.0827767703668,15.1558509671827,12.6338357986576,12.5946154705381,16.84597947495866
BFA,Burkina Faso,854.0,3.69615497692474,3.61691400783676,3.20769555583661,3.52976195865991,,3.512631624814505
BDI,Burundi,108.0,16.0191368282633,9.55400797804711,9.93248139936809,,,11.835208735226166
CPV,Cabo Verde,132.0,5.90718968888539,6.14104160448345,5.60759630079369,5.91425614906821,13.3503104662746,7.384078841901068
KHM,Cambodia,116.0,5.14839903407309,6.24101194221833,6.73293616466018,6.94164133311693,7.09983019881752,6.43276373457721
CMR,Cameroon,120.0,13.3924754687549,10.6894898947636,14.1354483021454,14.3503882587852,19.784341240975,14.470428633084818
CAN,Canada,124.0,,,,,,
CYM,Cayman Islands,136.0,,,,,,
CAF,Central African Republic,140.0,,,,,,
TCD,Chad,148.0,,,,,,
CHL,Chile,152.0,,,,,,
COL,Colombia,170.0,33.1744082142441,40.7593035789735,40.8006519872279,32.9691040804518,51.048574156046,39.75040840338867
COM,Comoros,174.0,5.54648763813543,2.98082051223683,3.88710601982862,2.89097960853206,10.4431704445956,5.149712844665708
COD,Democratic Republic of the Congo,180.0,4.02297679479618,3.39294349302154,2.3297474405746,7.19585943514332,2.30941222641573,3.850187877990274
COG,Congo,178.0,8.13438090093637,,,,,8.13438090093637
CRI,Costa Rica,188.0,14.8848622762542,14.9481080824652,15.5066994441108,13.7865775989489,14.8407859360561,14.79340666756704
CIV,Côte d'Ivoire,384.0,12.9730963153988,17.0951138013737,12.317098480499,21.1857703880654,,15.892769746334224
HRV,Croatia,191.0,,,,,,
CUB,Cuba,192.0,,,,,,
CUW,Curaçao,531.0,,,,,,
CYP,Cyprus,196.0,,,,,,
CZE,Czechia,203.0,,,,,,
DNK,Denmark,208.0,,,,,,
DJI,Djibouti,262.0,2.14604295065645,1.71624234389153,1.58361883188008,1.5231958284713,1.65982495119188,1.7257849812182477
DMA,Dominica,212.0,9.60741402965362,12.5042544194992,17.4142778082426,12.4926022527784,23.7143708040176,15.146583862838284
DOM,Dominican Republic,214.0,18.6013519565159,15.5808046954367,14.7465589947269,18.1560263313987,44.9753125787266,22.41201091136096
ECU,Ecuador,218.0,26.5803747459453,29.1435744656601,35.6630127155527,35.6826042330608,41.6182291009457,33.73755905223292
EGY,Egypt,818.0,19.5030354372015,15.353254148771,15.0534603325028,16.1229426697292,29.4701759706453,19.10057371176996
SLV,El Salvador,222.0,20.064853896716,51.6213408134885,45.4526441707805,68.4496318655662,80.0993397108161,53.137562091473455
GNQ,Equatorial Guinea,226.0,,,,,,
ERI,Eritrea,232.0,,,,,,
EST,Estonia,233.0,,,,,,
SWZ,Eswatini,748.0,2.24880380421164,2.31506585238025,2.26704822315446,2.58399387990333,3.2948836013876,2.541959072207456
ETH,Ethiopia,231.0,20.9349904391639,22.2355330062846,21.4917884174323,28.288391615168,25.8483587769354,23.75981245099684
FRO,Faroe Islands,234.0,,,,,,
FJI,Fiji,242.0,4.47347389325661,6.65242547879754,3.93425168874591,7.80736532619058,21.2530685664351,8.824116990685148
FIN,Finland,246.0,,,,,,
PYF,French Polynesia,258.0,,,,,,
GAB,Gabon,266.0,,,,,,
GMB,Gambia,270.0,22.3588729866135,15.8314199362844,12.6604892291158,12.7843051106066,17.8253303577869,16.292083524081438
GEO,Georgia,268.0,36.7531321691726,29.7159343142183,23.9219838838232,22.5497112102702,35.3441237553552,29.6569770665679
GHA,Ghana,288.0,9.52484685484937,10.0542715226681,11.7052338857618,9.80023224965051,12.0412357616152,10.625164054908996
GIB,Gibraltar,292.0,,,,,,
GRC,Greece,300.0,,,,,,
GRL,Greenland,304.0,,,,,,
GRD,Grenada,308.0,9.71407315746721,10.0859910152594,8.71022083839769,8.47052721759949,11.0417991768988,9.604522281124519
GUM,Guam,316.0,,,,,,
GTM,Guatemala,320.0,23.5128173587407,29.747210171787,8.24912268438796,12.9426123461397,22.0437145995074,19.29909543211255
GIN,Guinea,324.0,2.31068365481525,1.74047665341056,2.77456005535745,2.76426692606438,1.51609907549036,2.2212172730276
GNB,Guinea-Bissau,624.0,2.7831888206078,2.5757378878066,2.60795066142633,3.55874471438302,,2.881405521055937
GUY,Guyana,328.0,4.75554171445515,5.71716614249694,8.62666639195664,7.41420288945271,4.64357517657317,6.231430462986922
HTI,Haiti,332.0,5.3675009528841,1.24838374179666,1.00835549688677,1.19746299102186,,2.2054257956473475
HND,Honduras,340.0,13.6253370917885,12.8039920729091,13.9100603931875,11.9843232214637,23.821771914659,15.229096938801558
HKG,"China, Hong Kong SAR",344.0,,,,,,
HUN,Hungary,348.0,,,,,,
ISL,Iceland,352.0,,,,,,
IRN,Iran (Islamic Republic of),364.0,2.20112497345704,0.451657376541216,0.183424695243728,0.463694844013058,0.863415480583671,0.8326634739677425
IRQ,Iraq,368.0,,,,,,
IRL,Ireland,372.0,,,,,,
IMN,Isle of Man,833.0,,,,,,
ISR,Israel,376.0,,,,,,
JAM,Jamaica,388.0,40.5155551272863,27.2739763754631,20.2233283977791,36.4401181622189,51.2188008162802,35.134355775805524
JOR,Jordan,400.0,17.1503390780725,12.3017188255286,13.9594675064526,19.1684449648542,27.5826229059375,18.03251865616908
KAZ,Kazakhstan,398.0,46.1688512379812,49.635570933461,48.2218534781167,47.8947336229982,56.2637603248471,49.636953919480845
KEN,Kenya,404.0,11.1602629537617,14.6073624197205,23.7172059190077,38.3757841900304,27.8411689544957,23.1403568874032
KIR,Kiribati,296.0,,,,,,
PRK,Democratic People's Republic of Korea,408.0,,,,,,
KWT,Kuwait,414.0,,,,,,
KGZ,Kyrgyzstan,417.0,27.8457897326836,22.3970789484822,20.3011896410114,24.1709285224129,25.5907606890666,24.06114950673134
LAO,Lao People's Democratic Republic,418.0,10.6880901967025,12.7103194841906,13.436702272892,7.23151025370934,15.7967640776657,11.972677257032029
LVA,Latvia,428.0,,,,,,
LBN,Lebanon,422.0,71.0030562079369,74.7198756446427,74.915967316152,87.0535754543791,127.480369113244,87.03456874727094
LSO,Lesotho,426.0,3.93824345620034,3.33741809484507,3.73666594201616,4.45034770060379,5.15919221475324,4.12437348168372
LBR,Liberia,430.0,3.04265906817061,3.35252148704175,4.41026504931633,7.11688444593265,11.0044452925024,5.785355068592748
LBY,Libya,434.0,,,,,,
LIE,Liechtenstein,438.0,,,,,,
LTU,Lithuania,440.0,,,,,,
LUX,Luxembourg,442.0,,,,,,
MAC,"China, Macao SAR",446.0,,,,,,
MDG,Madagascar,450.0,3.59422507426469,3.15351573453436,2.68311884498423,2.84403784588269,4.71693402930766,3.398366305794726
MWI,Malawi,454.0,6.37693829577603,6.71493980241493,7.18468387024143,7.46878856286072,9.18830603890756,7.386731314040134
MYS,Malaysia,458.0,,,,,,
MDV,Maldives,462.0,4.55098477762274,5.02109664869557,12.2589201781399,12.172374908762,15.900374922182,9.980750287080443
MLI,Mali,466.0,3.51625992026355,4.02406247094933,4.41403177282481,,,3.9847847213458967
MLT,Malta,470.0,,,,,,
MHL,Marshall Islands,584.0,,,,,,
MRT,Mauritania,478.0,15.0234089816701,15.7224162833562,17.4077668621601,14.0699583199837,9.93179259722905,14.43106860887983
MUS,Mauritius,480.0,12.8246385696914,17.0027429525005,22.5421046392528,20.8495133282352,26.2782793736134,19.899455772658662
FSM,Micronesia (Federated States of),583.0,,,,,,
MDA,Republic of Moldova,498.0,12.7579882880505,10.9953775222624,13.7171691189525,13.5133757577957,17.4958748335683,13.695957104125881
MCO,Monaco,492.0,,,,,,
MNG,Mongolia,496.0,25.889444831652,53.8377828585687,97.9366198626202,133.104934600408,23.8056687497684,66.91489018060346
MNE,Montenegro,499.0,61.132181442708,49.9014853601825,62.7243300054276,55.3007582167421,102.255948343275,66.26294067366705
MAR,Morocco,504.0,11.0649774260592,10.0456268136466,9.02976644908818,9.27834951237973,13.4902774998359,10.581799540201922
MOZ,Mozambique,508.0,12.507754722323,8.12436042069556,8.77840810659367,14.7605527918418,33.9886980317823,15.631954814647264
MMR,Myanmar,104.0,5.53948205304109,4.43392061260198,4.92654373252499,3.72374168776908,,4.655922021484286
NAM,Namibia,516.0,,,,,,
NRU,Nauru,520.0,,,,,,
NPL,Nepal,524.0,9.29925073721298,8.48049668523619,7.22410958183493,8.25373775152271,12.0803678190085,9.067592514963062
NCL,New Caledonia,540.0,,,,,,
NZL,New Zealand,554.0,,,,,,
NIC,Nicaragua,558.0,15.8946382508851,19.7236234458106,18.9665333156367,19.7144041929263,22.4849683243886,19.35683350592946
NER,Niger,562.0,8.3244228687535,8.5996469960907,7.86858681735937,9.21078493076306,,8.500860403241658
NGA,Nigeria,566.0,6.27742685232409,6.74529094790613,7.88436213048042,7.10205626371167,13.3600927959246,8.273845798069383
MKD,North Macedonia,807.0,15.5347192329527,13.6826233589413,16.5619409432056,9.05451200134167,15.7543067582939,14.117620458947034
MNP,Northern Mariana Islands,580.0,,,,,,
NOR,Norway,578.0,,,,,,
OMN,Oman,512.0,,,,,,
PAK,Pakistan,586.0,15.699359489805,22.435953374301,19.1486704726628,35.3053393343956,32.3820629347834,24.994277121189562
PLW,Palau,585.0,,,,,,
PAN,Panama,591.0,24.4933723939605,14.9172764947456,16.3978987634848,15.6448357494862,31.3431298503393,20.55930265040328
PNG,Papua New Guinea,598.0,39.8726885527703,27.1044758023161,26.1492570704638,20.1024561037217,14.1497957718071,25.4757346602158
PRY,Paraguay,600.0,10.6863030707547,12.4644412231806,15.84033988842,10.2772750987585,6.00626948995714,11.054925754214189
PER,Peru,604.0,17.5799665948473,20.508908459633,12.2317683757044,11.3309498198344,13.365596652998,15.003437980603419
PHL,Philippines,608.0,13.1666298997847,11.5247304574351,8.5957903758296,9.71522536414274,10.1267010256166,10.625815424561747
POL,Poland,616.0,,,,,,
PRT,Portugal,620.0,,,,,,
PRI,Puerto Rico,630.0,,,,,,
QAT,Qatar,634.0,,,,,,
ROU,Romania,642.0,22.3641453121393,21.6253384932072,20.3952664103588,17.804037907944,20.3886554216234,20.515488709054537
RWA,Rwanda,646.0,14.5634730953585,12.7068520868692,12.7530652658762,14.3137505848254,14.6191002954554,13.791248265676941
WSM,Samoa,882.0,8.95265277567305,9.0112119035571,9.92836645191259,8.8228125030091,18.6836703955324,11.07974280593685
SMR,San Marino,674.0,,,,,,
STP,Sao Tome and Principe,678.0,2.55436559298371,4.05794957432791,4.72743808968521,11.6966692104798,4.27311259832139,5.461907013159604
SEN,Senegal,686.0,9.57949597967564,14.3529211652845,15.1841920367141,,,13.038869727224748
SRB,Serbia,688.0,29.4410630011294,21.6285350585186,21.6517664730856,25.6434723050474,19.2492284780433,23.522813063164858
SYC,Seychelles,690.0,,,,,,
SLE,Sierra Leone,694.0,5.07742910463107,7.72671391589464,8.20076036348643,8.89865413921707,,7.475889380807303
SGP,Singapore,702.0,,,,,,
SXM,Sint Maarten (Dutch part),534.0,,,,,,
SVK,Slovakia,703.0,,,,,,
SVN,Slovenia,705.0,,,,,,
SLB,Solomon Islands,90.0,3.84741879254234,4.03754127013228,5.59922565767047,2.55397449727688,1.85804135278607,3.5792403140816083
SOM,Somalia,706.0,0.00494637773722628,0.00327061320754717,0.00535729148753224,0.0542342990654206,,0.01695214537443157
ZAF,South Africa,710.0,14.5919897668486,13.3048438009482,23.5539633211515,20.0145869952173,28.1542174007729,19.923920256987703
SSD,South Sudan,728.0,,,,,,
LKA,Sri Lanka,144.0,18.907717306744,21.868048529895,36.053792456664,31.7323428111115,39.3289354583242,29.578167312547738
KNA,Saint Kitts and Nevis,659.0,,,,,,
LCA,Saint Lucia,662.0,5.13929374297275,4.42730226243723,4.2984563769855,4.05516555924048,9.17250130095371,5.418543848517935
MAF,Saint-Martin (French part),663.0,,,,,,
VCT,Saint Vincent and the Grenadines,670.0,10.3748902147162,11.6430014076639,13.0036002660827,11.7372958454073,19.1128527185791,13.174328090489837
SDN,Sudan,729.0,6.33691525263901,4.01719960592335,4.19894498062309,3.75873467947796,2.88593055679235,4.239545015091152
SUR,Suriname,740.0,,,,,,
SWE,Sweden,752.0,,,,,,
SYR,Syrian Arab Republic,760.0,,,,,,
TJK,Tajikistan,762.0,28.1446694943115,25.945564455121,22.0445761582354,19.3045604822818,30.9631311256037,25.28050034311068
TZA,United Republic of Tanzania,834.0,8.59071576152406,10.1160952339668,12.1203172917975,12.5573293980793,14.6012126750813,11.597134072089792
THA,Thailand,764.0,5.06603715711569,4.72282429838875,5.52308394858552,8.08789815197817,6.21206863926655,5.922382439066936
TLS,Timor-Leste,626.0,0.124179938344076,0.203930991586737,0.317026611161799,0.547126724480068,1.07837183101394,0.454127219317324
TGO,Togo,768.0,4.8635354194231,5.76252035678934,5.96125983926843,5.96473604995551,,5.638012916359095
TON,Tonga,776.0,5.06743454512647,3.99747791990995,6.57792794922837,3.30986563391315,3.94656260668078,4.5798537309717435
TTO,Trinidad and Tobago,780.0,,,,,,
TUN,Tunisia,788.0,12.0177011579866,17.0278316088493,15.184919406693,16.2746119504112,19.6001902498863,16.02105087476528
TKM,Turkmenistan,795.0,,,,,,
TCA,Turks and Caicos Islands,796.0,,,,,,
TUV,Tuvalu,798.0,,,,,,
UGA,Uganda,800.0,17.3741040122651,3.65711718047868,8.63539986722813,4.71372758372075,12.1076118207501,9.297592092888552
UKR,Ukraine,804.0,23.2744669117341,20.7575375881358,20.6551487896189,18.0379304219854,24.5195635679495,21.448929455884745
ARE,United Arab Emirates,784.0,,,,,,
URY,Uruguay,858.0,,,,,,
UZB,Uzbekistan,860.0,10.7296019960559,12.701722838594,5.83209624315504,13.248342446394,20.7196075239882,12.64627420963743
VUT,Vanuatu,548.0,2.11942045612659,2.32251190519922,4.06255820612183,3.25584075572331,7.29948795572662,3.8119638557795144
VEN,Venezuela (Bolivarian Republic of),862.0,20.2643652913864,,,,,20.2643652913864
VNM,Viet Nam,704.0,3.86851013313586,5.92236627080294,6.99591279276439,5.80244783108354,5.608647616481,5.639576928853546
VIR,United States Virgin Islands,850.0,,,,,,
PSE,Palestine,275.0,,,,,,
YEM,Yemen,887.0,14.5629550318343,,,,,14.5629550318343
ZMB,Zambia,894.0,9.90298420045048,9.16790775889924,12.8158685064038,31.370098143491,47.2408036940695,22.099532460662804
ZWE,Zimbabwe,716.0,30.4676923404478,15.4050250663002,11.6879132164676,30.0535049703253,18.6063195109456,21.2440910208973
