ISO3_Code,Country_Name,M49_Code,External_Debt_Stock_2016,External_Debt_Stock_2017,External_Debt_Stock_2018,External_Debt_Stock_2019,External_Debt_Stock_2020,External_Debt_Stock_Avg
AFG,Afghanistan,4.0,2596050086.4,2751986638.9,2678760424.2,2661685956.5,3036369312.4,2744970483.68
ALB,Albania,8.0,8516222980.3,9801454504.1,9875849866.7,9556855648.5,10859239096.8,9721924419.280003
DZA,Algeria,12.0,5462929063.8,5706735537.1,5710413690.0,5492302707.3,5178215526.0,5510119304.84
ASM,American Samoa,16.0,,,,,,
AND,Andorra,20.0,,,,,,
AGO,Angola,24.0,57827339857.2,59175902494.2,63217528196.5,64446155980.0,67286794415.2,62390744188.619995
ATG,Antigua and Barbuda,28.0,,,,,,
ARG,Argentina,32.0,181638508190.7,225925335186.1,277827278079.2,281723792002.3,253760056780.7,244174994047.8
ARM,Armenia,51.0,9855623087.1,10228295738.5,10725730268.9,11884488146.3,13093864395.5,11157600327.26
ABW,Aruba,533.0,,,,,,
AUS,Australia,36.0,,,,,,
AUT,Austria,40.0,,,,,,
AZE,Azerbaijan,31.0,14590007638.9,15300924031.7,16211029569.5,15840362634.9,15811923784.2,15550849531.84
BHS,Bahamas,44.0,,,,,,
BHR,Bahrain,48.0,,,,,,
BGD,Bangladesh,50.0,38480571897.7,46819123464.6,52138401714.0,57094167969.9,67749043920.7,52456261793.37999
BRB,Barbados,52.0,,,,,,
BLR,Belarus,112.0,37515947697.5,39584221158.1,38767563257.0,40734118642.4,42491219492.3,39818614049.46
BEL,Belgium,56.0,,,,,,
BLZ,Belize,84.0,1290298702.5,1338924309.2,1348898447.4,1377529086.7,1526004210.8,1376330951.3200002
BEN,Benin,204.0,2258065494.5,2794440257.3,3585946329.5,3877755764.1,5250479649.2,3553337498.9199996
BMU,Bermuda,60.0,,,,,,
BTN,Bhutan,64.0,2289670352.4,2607949876.9,2551977085.0,2703804731.6,2868979841.7,2604476377.5199995
BOL,Bolivia (Plurinational State of),68.0,10994252972.4,12990057752.2,13248377783.1,14301150537.3,15421072053.6,13390982219.72
BIH,Bosnia and Herzegovina,70.0,11630871769.5,13028529320.1,13253889164.0,13231145802.7,14263489883.9,13081585188.04
BWA,Botswana,72.0,2126448971.8,1741386786.6,1782037130.2,1565096393.6,1597427934.6,1762479443.36
BRA,Brazil,76.0,543257228545.3,543000326110.9,557742529191.2,568645874141.1,549234311520.2,552376053901.74
VGB,British Virgin Islands,92.0,,,,,,
BRN,Brunei Darussalam,96.0,,,,,,
BGR,Bulgaria,100.0,39994027753.1,40989144703.6,40103457338.4,40501402414.8,43347397245.2,40987085891.020004
BFA,Burkina Faso,854.0,2863797381.9,3166766915.9,3317745777.5,3686905203.1,4494781776.5,3505999410.9800005
BDI,Burundi,108.0,602774776.7,606820362.7,584975019.0,593889381.1,625985283.6,602888964.62
CPV,Cabo Verde,132.0,1551733555.5,1789970312.7,1767451777.7,1821219111.3,2069786254.3,1800032202.3
KHM,Cambodia,116.0,10059535399.9,11425279074.2,13532957757.7,15329443357.1,17562061636.9,13581855445.16
CMR,Cameroon,120.0,7890233642.2,10073207229.5,10925807437.9,12849396624.9,13863899165.5,11120508820.0
CAN,Canada,124.0,,,,,,
CYM,Cayman Islands,136.0,,,,,,
CAF,Central African Republic,140.0,735399666.2,762760558.8,824970472.8,887586414.7,935630034.0,829269429.3
TCD,Chad,148.0,2867303800.8,3123892175.3,3242639042.8,3313206994.2,3654297383.4,3240267879.3
CHL,Chile,152.0,,,,,,
CHN,China,159.0,1413804345434.8,1704516192888.5,1961528186354.2,2114162881662.2,2349388621678.4,1908680045603.6199
COL,Colombia,170.0,120658527944.8,125769055081.7,132964924337.9,138625436538.7,155171767040.5,134637942188.72002
COM,Comoros,174.0,179966571.8,186606215.0,244985939.8,265687364.9,301131309.5,235675480.2
COD,Democratic Republic of the Congo,180.0,5021565632.4,5083895441.8,4955691893.5,5617843790.1,6137246433.1,5363248638.18
COG,Congo,178.0,4874543671.1,5513707790.3,5220894528.0,5379079715.6,5253134974.2,5248272135.84
CRI,Costa Rica,188.0,25562670955.2,25615909360.8,28369279758.1,29800758229.0,31287627814.7,28127249223.560005
CIV,Côte d'Ivoire,384.0,11457186653.5,13449134231.4,16184569403.8,19816398560.3,25072693104.0,17195996390.6
HRV,Croatia,191.0,,,,,,
CUB,Cuba,192.0,,,,,,
CUW,Curaçao,531.0,,,,,,
CYP,Cyprus,196.0,,,,,,
CZE,Czechia,203.0,,,,,,
DNK,Denmark,208.0,,,,,,
DJI,Djibouti,262.0,1702240895.4,2266964232.8,2321379194.7,2552579803.4,2678724034.8,2304377632.22
DMA,Dominica,212.0,300168362.9,299719824.9,283303809.0,282940980.0,328975990.2,299021793.4
DOM,Dominican Republic,214.0,28291425524.5,31155812951.6,33564082651.9,38396262855.1,44467742286.3,35175065253.880005
ECU,Ecuador,218.0,35378111194.4,41158716635.5,44943859423.5,51883469835.5,56190547675.7,45910940952.92
EGY,Egypt,818.0,69163941956.8,84722482199.7,100186063063.6,115079584155.5,131579729752.3,100146360225.57999
SLV,El Salvador,222.0,16566778003.6,17179362768.2,16724734483.9,17379449891.6,18333708634.2,17236806756.3
GNQ,Equatorial Guinea,226.0,,,,,,
ERI,Eritrea,232.0,797254598.7,820766657.9,791199901.6,771710773.6,788537429.3,793893872.2199999
EST,Estonia,233.0,,,,,,
SWZ,Eswatini,748.0,499435854.2,653829149.2,511324121.1,630306421.4,766084561.1,612196021.4
ETH,Ethiopia,231.0,23396100284.1,26169980394.7,27842380882.8,28374718501.4,30364411863.0,27229518385.2
FRO,Faroe Islands,234.0,,,,,,
FJI,Fiji,242.0,1297960843.0,1267715373.7,1245387658.2,1344060627.0,1518014488.9,1334627798.1599998
FIN,Finland,246.0,,,,,,
FRA,France,250.0,,,,,,
PYF,French Polynesia,258.0,,,,,,
GAB,Gabon,266.0,5336059263.7,6499313033.2,6811278682.7,7198927676.3,7615875628.1,6692290856.8
GMB,Gambia,270.0,527088062.0,660865799.8,687760236.9,712541774.6,775654200.1,672782014.68
GEO,Georgia,268.0,16320114022.1,16423920739.6,17326170640.8,18756971467.1,20088956454.8,17783226664.88
DEU,Germany,276.0,,,,,,
GHA,Ghana,288.0,21058602291.6,22212841567.6,23173792492.1,26738836501.5,31323084616.8,24901431493.92
GIB,Gibraltar,292.0,,,,,,
GRC,Greece,300.0,,,,,,
GRL,Greenland,304.0,,,,,,
GRD,Grenada,308.0,622125784.3,561492097.2,554451757.1,525667644.2,658742963.7,584496049.3
GUM,Guam,316.0,,,,,,
GTM,Guatemala,320.0,21129829604.4,23264893723.8,24274930210.1,25034633158.6,25136104794.9,23768078298.359997
GIN,Guinea,324.0,2217811578.8,2388386753.8,2589224549.6,2999682895.1,4175376873.8,2874096530.2200003
GNB,Guinea-Bissau,624.0,323345883.3,425024471.9,520702423.3,611218114.4,805942506.0,537246679.78
GUY,Guyana,328.0,1643860201.4,1582078487.6,1607000663.7,1530459137.7,1506687262.6,1574017150.6
HTI,Haiti,332.0,2167818423.0,2169815133.3,2219747746.5,2213887988.5,2317684493.9,2217790757.04
HND,Honduras,340.0,7614296900.4,8741578894.1,9167107328.2,9744777319.6,11016615220.9,9256875132.640001
HKG,"China, Hong Kong SAR",344.0,,,,,,
HUN,Hungary,348.0,,,,,,
ISL,Iceland,352.0,,,,,,
IND,India,356.0,455502090498.9,511472593373.6,521030395277.3,560870595482.5,564179014212.4,522610937768.94006
IDN,Indonesia,360.0,318942066410.3,353563845559.2,379588979497.0,402106449108.8,417531650069.7,374346598129.0
IRN,Iran (Islamic Republic of),364.0,6058410415.5,6819093933.4,5773699803.6,4855393068.1,5451188395.8,5791557123.28
IRQ,Iraq,368.0,,,,,,
IRL,Ireland,372.0,,,,,,
IMN,Isle of Man,833.0,,,,,,
ISR,Israel,376.0,,,,,,
ITA,Italy,380.0,,,,,,
JAM,Jamaica,388.0,14127210394.7,14808025916.3,18380699500.9,18576584889.2,18034588389.0,16785421818.02
JPN,Japan,392.0,,,,,,
JOR,Jordan,400.0,27110465347.6,30051460368.7,31925236670.2,33481611279.1,38016104454.3,32116975623.980003
KAZ,Kazakhstan,398.0,163488458648.4,158948966204.6,156979029654.8,158958005233.4,162974379888.5,160269767925.94
KEN,Kenya,404.0,21037318124.0,26929600433.7,31413700215.2,34941393887.9,38193646113.7,30503131754.9
KIR,Kiribati,296.0,,,,,,
PRK,Democratic People's Republic of Korea,408.0,,,,,,
KOR,Republic of Korea,410.0,,,,,,
KWT,Kuwait,414.0,,,,,,
KGZ,Kyrgyzstan,417.0,7972109924.2,8124567543.7,8157842611.7,8448338537.4,8697096132.6,8279990949.92
LAO,Lao People's Democratic Republic,418.0,13535138628.7,14696314072.6,15377362122.2,16701083150.5,17164137036.5,15494807002.1
LVA,Latvia,428.0,,,,,,
LBN,Lebanon,422.0,69509159841.8,74165438618.9,79650131632.7,73893126216.7,68865417339.4,73216654729.9
LSO,Lesotho,426.0,921472674.5,935953109.2,903648840.9,935870653.0,1052218388.9,949832733.3
LBR,Liberia,430.0,952648609.9,1122234392.0,1163396935.0,1296390617.4,1480598762.4,1203053863.3400002
LBY,Libya,434.0,,,,,,
LIE,Liechtenstein,438.0,,,,,,
LTU,Lithuania,440.0,,,,,,
LUX,Luxembourg,442.0,,,,,,
MAC,"China, Macao SAR",446.0,,,,,,
MDG,Madagascar,450.0,2975696861.1,3382076962.2,3730156549.6,4065354125.4,4873178319.3,3805292563.5199995
MWI,Malawi,454.0,1847005075.2,2162398106.2,2265713574.3,2428679899.0,2943281966.5,2329415724.2400002
MYS,Malaysia,458.0,,,,,,
MDV,Maldives,462.0,1221999437.3,1515722991.1,2339711918.2,2679184642.9,3351712547.7,2221666307.44
MLI,Mali,466.0,3781657117.9,4278552577.1,4631345661.7,5104405564.7,6081077523.8,4775407689.04
MLT,Malta,470.0,,,,,,
MHL,Marshall Islands,584.0,,,,,,
MRT,Mauritania,478.0,5080228847.5,5241041040.5,5225505427.4,5369750057.0,5710104834.5,5325326041.38
MUS,Mauritius,480.0,10464134314.2,15847138721.3,16112456258.7,18162452892.7,18527475048.5,15822731447.079998
MEX,Mexico,484.0,424268116300.0,444152603804.9,455828098481.7,472378122351.2,467511920765.7,452827772340.7
FSM,Micronesia (Federated States of),583.0,,,,,,
MDA,Republic of Moldova,498.0,6222242082.0,6968633842.8,7440416232.0,7523711270.2,8475902591.1,7326181203.62
MCO,Monaco,492.0,,,,,,
MNG,Mongolia,496.0,24612081479.1,27963178992.6,29788573487.9,31649904769.5,33236211399.4,29449990025.7
MNE,Montenegro,499.0,6220223867.3,7218787356.9,8027011402.5,8339382593.6,9722712647.4,7905623573.540001
MAR,Morocco,504.0,47614177158.1,51023139825.8,50430740344.6,55058242774.4,65682954942.0,53961851008.979996
MOZ,Mozambique,508.0,14205408236.9,15821707638.5,18678707681.4,20110335952.6,20932324154.5,17949696732.78
MMR,Myanmar,104.0,10106905264.5,10759099311.3,10684513512.0,11119585996.1,13348140041.1,11203648825.0
NAM,Namibia,516.0,,,,,,
NRU,Nauru,520.0,,,,,,
NPL,Nepal,524.0,4297388214.0,4963402939.1,5510938186.4,6513481342.0,7904918393.1,5838025814.92
NLD,Netherlands,528.0,,,,,,
NCL,New Caledonia,540.0,,,,,,
NZL,New Zealand,554.0,,,,,,
NIC,Nicaragua,558.0,11035455282.7,11521270259.4,11678842287.9,11680507308.1,12050448081.6,11593304643.939999
NER,Niger,562.0,2529185628.5,3055084477.3,3197189023.4,3608754288.0,4590696470.5,3396181977.54
NGA,Nigeria,566.0,35717779488.9,45780013169.8,54202577784.6,60047046402.0,70570530052.8,53263589379.62001
MKD,North Macedonia,807.0,7512963879.5,8544276017.3,8666432372.7,8986250457.8,10606666542.8,8863317854.02
MNP,Northern Mariana Islands,580.0,,,,,,
NOR,Norway,578.0,,,,,,
OMN,Oman,512.0,,,,,,
PAK,Pakistan,586.0,75039343005.0,91660862633.8,99238383002.9,107900777493.9,116505539223.7,98068981071.86
PLW,Palau,585.0,,,,,,
PAN,Panama,591.0,89440297342.6,93148803468.4,100310977753.7,107415987705.1,108866240274.6,99836461308.88
PNG,Papua New Guinea,598.0,19247283289.3,17223736382.3,17723605372.7,18744676569.0,17970999839.4,18182060290.54
PRY,Paraguay,600.0,16227686956.1,15928953800.4,15799216059.4,16387629382.3,19763367609.1,16821370761.459997
PER,Peru,604.0,69612783913.7,67603581696.8,66769271405.5,64247279473.4,73549205266.8,68356424351.240005
PHL,Philippines,608.0,74742411561.0,73098382247.4,78960680575.5,83617256190.1,98479781366.5,81779702388.1
POL,Poland,616.0,,,,,,
PRT,Portugal,620.0,,,,,,
PRI,Puerto Rico,630.0,,,,,,
QAT,Qatar,634.0,,,,,,
ROU,Romania,642.0,96117936188.0,114007964316.1,112546911481.6,118298177700.6,142389651029.0,116672128143.06001
RUS,Russian Federation,643.0,529275173047.3,514279537324.6,471884966126.2,484240497644.5,475518171675.9,495039669163.7
RWA,Rwanda,646.0,4318716827.6,5076087515.8,5681082350.9,6514940151.8,8193366972.4,5956838763.7
WSM,Samoa,882.0,417456880.5,443075541.6,427480190.6,408555300.1,437296399.1,426772862.38
SMR,San Marino,674.0,,,,,,
STP,Sao Tome and Principe,678.0,248286227.4,269476888.6,252602291.4,251643225.5,291188749.4,262639476.45999998
SAU,Saudi Arabia,682.0,,,,,,
SEN,Senegal,686.0,7534426005.9,9820214448.9,12681119863.8,15138559758.4,17238618348.8,12482587685.16
SRB,Serbia,688.0,28326797867.7,31453934635.8,31471262854.9,32560157793.4,38467088092.0,32455848248.76
SYC,Seychelles,690.0,,,,,,
SLE,Sierra Leone,694.0,1627108061.8,1751064531.0,1754673893.2,1853041456.8,2113502029.6,1819877994.48
SGP,Singapore,702.0,,,,,,
SXM,Sint Maarten (Dutch part),534.0,,,,,,
SVK,Slovakia,703.0,,,,,,
SVN,Slovenia,705.0,,,,,,
SLB,Solomon Islands,90.0,263838572.3,376730656.2,323533174.2,350464708.8,428927088.9,348698840.08000004
SOM,Somalia,706.0,2744666127.8,2833531570.2,5558434812.7,5621339497.2,4659652464.5,4283524894.4800005
ZAF,South Africa,710.0,143967019621.2,174920789745.5,174094000763.8,185357003620.1,170766641061.2,169821090962.36002
SSD,South Sudan,728.0,,,,,,
ESP,Spain,724.0,,,,,,
LKA,Sri Lanka,144.0,46661458616.2,50765545978.7,52919692662.2,56117855647.0,56341952149.6,52561301010.74
KNA,Saint Kitts and Nevis,659.0,,,,,,
LCA,Saint Lucia,662.0,543662556.6,621896095.4,615495530.0,638927013.2,733837563.5,630763751.74
MAF,Saint-Martin (French part),663.0,,,,,,
VCT,Saint Vincent and the Grenadines,670.0,333532529.1,335439396.4,323345869.9,351677245.0,406295764.5,350058160.98
SDN,Sudan,729.0,21091694446.6,21700605589.6,21529048699.8,22264288832.6,22953534423.5,21907834398.420002
SUR,Suriname,740.0,,,,,,
SWE,Sweden,752.0,,,,,,
CHE,Switzerland,756.0,,,,,,
SYR,Syrian Arab Republic,760.0,4367932030.6,4603897926.4,4583582193.9,4590239653.7,4763248268.9,4581780014.7
TJK,Tajikistan,762.0,5181124718.8,5621789478.9,6088752240.8,6642228623.6,6797818017.2,6066342615.86
TZA,United Republic of Tanzania,834.0,19435911410.7,21418368689.0,22351529524.4,24163852053.3,25537812220.1,22581494779.5
THA,Thailand,764.0,139220295850.1,161647488029.7,172494315942.3,179772659996.2,204146618941.7,171456275752.0
TLS,Timor-Leste,626.0,80907571.1,124522399.4,158056457.0,203400669.6,231800534.6,159737526.34
TGO,Togo,768.0,1216414987.6,1645785103.5,1719584007.8,2010066450.4,2546422966.7,1827654703.2
TON,Tonga,776.0,174411669.5,193072348.9,186833553.1,186483847.2,194304203.1,187021124.36
TTO,Trinidad and Tobago,780.0,,,,,,
TUN,Tunisia,788.0,28827327849.4,33500794816.7,35032565217.9,39380531674.7,41038099975.2,35555863906.78
TUR,Türkiye,792.0,409420947718.7,456562176683.8,445973315161.3,440772959820.6,435889447921.0,437723769461.07996
TKM,Turkmenistan,795.0,8167364609.0,8650279590.8,8159810791.6,6515849191.5,5636041535.6,7425869143.7
TCA,Turks and Caicos Islands,796.0,,,,,,
TUV,Tuvalu,798.0,,,,,,
UGA,Uganda,800.0,10086179673.2,11672672164.1,12315104975.9,13971124695.9,17206774508.8,13050371203.580002
UKR,Ukraine,804.0,115004114303.7,122699641467.7,121090690591.9,123921285219.8,129899079724.5,122522962261.51999
ARE,United Arab Emirates,784.0,,,,,,
GBR,United Kingdom of Great Britain and Northern Ireland,826.0,,,,,,
USA,United States of America,840.0,,,,,,
URY,Uruguay,858.0,,,,,,
UZB,Uzbekistan,860.0,15493632387.7,16692298325.1,17735675248.4,22406619847.6,32174405287.0,20900526219.16
VUT,Vanuatu,548.0,293420900.7,401420199.8,402236822.4,441265525.7,455667428.4,398802175.4
VEN,Venezuela (Bolivarian Republic of),862.0,175794852101.7,176106439637.5,182938102104.2,185598307793.6,189305601067.6,181948660540.91998
VNM,Viet Nam,704.0,85664366987.2,104089991174.7,106854495774.0,117337158772.7,125045334156.1,107798269372.94002
VIR,United States Virgin Islands,850.0,,,,,,
PSE,Palestine,275.0,,,,,,
YEM,Yemen,887.0,7062871730.7,7193099657.9,7036509959.0,7055218065.7,7120836024.2,7093707087.5
ZMB,Zambia,894.0,15220653707.0,22954319549.1,23526271048.8,27726254062.8,30045885685.3,23894676810.6
ZWE,Zimbabwe,716.0,11464935181.2,12510355251.4,12620123760.0,12244515423.5,12740664732.3,12316118869.679998
