ISO3_Code,Country_Name,M49_Code,Infant_Mortality_Rate_2016,Infant_Mortality_Rate_2017,Infant_Mortality_Rate_2018,Infant_Mortality_Rate_2019,Infant_Mortality_Rate_2020,Infant_Mortality_Rate_Avg
AFG,Afghanistan,4.0,67.5,64.8,62.3,60.1,58.0,62.540000000000006
ALB,Albania,8.0,9.4,9.4,9.5,9.7,9.8,9.559999999999999
DZA,Algeria,12.0,24.8,24.3,23.8,23.3,22.7,23.78
ASM,American Samoa,16.0,,,,,,
AND,Andorra,20.0,3.2,3.0,2.8,2.7,2.5,2.84
AGO,Angola,24.0,84.1,80.6,77.3,74.2,71.5,77.53999999999999
ATG,Antigua and Barbuda,28.0,7.4,7.1,6.9,6.6,6.4,6.88
ARG,Argentina,32.0,10.9,10.3,9.7,9.1,8.6,9.72
ARM,Armenia,51.0,13.4,12.7,12.1,11.5,10.9,12.120000000000001
ABW,Aruba,533.0,,,,,,
AUS,Australia,36.0,3.8,3.8,3.7,3.7,3.7,3.7399999999999998
AUT,Austria,40.0,3.6,3.6,3.6,3.6,3.6,3.6
AZE,Azerbaijan,31.0,24.5,22.8,21.5,20.4,19.4,21.72
BHS,Bahamas,44.0,13.7,13.3,13.0,22.4,12.3,14.940000000000001
BHR,Bahrain,48.0,7.5,7.3,7.1,7.0,6.8,7.139999999999999
BGD,Bangladesh,50.0,36.1,34.2,32.4,30.7,29.1,32.5
BRB,Barbados,52.0,13.7,13.4,13.0,12.6,12.2,12.98
BLR,Belarus,112.0,3.9,3.6,3.4,3.1,2.9,3.38
BEL,Belgium,56.0,4.1,4.1,4.2,4.2,4.2,4.159999999999999
BLZ,Belize,84.0,14.5,13.7,12.9,12.3,11.7,13.020000000000001
BEN,Benin,204.0,95.4,93.2,90.9,88.4,85.9,90.75999999999999
BMU,Bermuda,60.0,,,,,,
BTN,Bhutan,64.0,31.9,30.7,29.6,28.6,27.6,29.679999999999996
BOL,Bolivia (Plurinational State of),68.0,29.9,28.6,27.4,26.3,25.4,27.52
BIH,Bosnia and Herzegovina,70.0,6.2,6.1,6.0,5.9,5.7,5.98
BWA,Botswana,72.0,49.2,47.8,47.0,45.9,44.8,46.94
BRA,Brazil,76.0,16.7,15.4,15.2,14.9,14.7,15.379999999999999
VGB,British Virgin Islands,92.0,,,,,,
BRN,Brunei Darussalam,96.0,10.8,11.0,11.2,11.4,11.5,11.18
BGR,Bulgaria,100.0,7.7,7.3,7.0,6.6,6.1,6.94
BFA,Burkina Faso,854.0,97.5,94.1,90.8,87.8,85.0,91.03999999999999
BDI,Burundi,108.0,64.4,61.5,59.0,56.6,54.4,59.17999999999999
CPV,Cabo Verde,132.0,18.1,16.8,15.8,14.9,14.2,15.960000000000003
KHM,Cambodia,116.0,30.3,29.0,27.7,26.6,25.7,27.859999999999996
CMR,Cameroon,120.0,84.2,80.6,77.3,74.7,72.2,77.8
CAN,Canada,124.0,5.3,5.2,5.1,5.1,5.0,5.14
CYM,Cayman Islands,136.0,,,,,,
CAF,Central African Republic,140.0,118.2,114.5,111.1,106.6,103.0,110.67999999999999
TCD,Chad,148.0,124.9,121.1,117.3,113.5,110.0,117.35999999999999
CHL,Chile,152.0,7.7,7.4,7.2,7.0,6.8,7.220000000000001
CHN,China,159.0,9.9,9.2,8.5,7.9,7.3,8.559999999999999
COL,Colombia,170.0,15.0,14.6,14.1,13.6,13.2,14.1
COM,Comoros,174.0,70.1,67.9,65.7,63.5,61.3,65.7
COD,Democratic Republic of the Congo,180.0,92.8,89.6,86.6,83.8,81.2,86.8
COG,Congo,178.0,50.8,49.1,47.6,52.5,44.6,48.92
CRI,Costa Rica,188.0,8.9,8.7,8.4,8.2,7.9,8.42
CIV,Côte d'Ivoire,384.0,88.4,86.0,83.2,80.3,77.9,83.16000000000001
HRV,Croatia,191.0,4.8,4.8,4.7,4.6,4.6,4.7
CUB,Cuba,192.0,5.5,5.4,5.3,5.2,5.1,5.3
CUW,Curaçao,531.0,,,,,,
CYP,Cyprus,196.0,2.9,2.8,2.8,2.8,2.8,2.8200000000000003
CZE,Czechia,203.0,3.2,3.2,3.1,3.0,2.9,3.08
DNK,Denmark,208.0,4.1,4.0,3.9,3.7,3.6,3.8600000000000003
DJI,Djibouti,262.0,63.8,61.8,59.7,57.8,55.9,59.8
DMA,Dominica,212.0,32.4,33.5,34.4,35.0,35.4,34.14
DOM,Dominican Republic,214.0,35.0,34.9,34.8,34.4,33.8,34.58
ECU,Ecuador,218.0,14.8,14.4,13.9,13.4,13.0,13.9
EGY,Egypt,818.0,22.5,21.7,20.9,20.1,19.5,20.939999999999998
SLV,El Salvador,222.0,14.9,14.3,13.8,13.3,12.9,13.84
GNQ,Equatorial Guinea,226.0,90.0,86.9,83.9,81.2,78.5,84.1
ERI,Eritrea,232.0,44.8,43.3,41.9,40.6,39.3,41.98
EST,Estonia,233.0,2.8,2.6,2.4,2.3,2.1,2.4400000000000004
SWZ,Eswatini,748.0,55.6,57.9,52.2,48.0,46.6,52.06
ETH,Ethiopia,231.0,59.0,55.9,53.2,50.8,48.7,53.52
FRO,Faroe Islands,234.0,,,,,,
FJI,Fiji,242.0,24.9,25.5,26.2,26.9,27.4,26.18
FIN,Finland,246.0,2.4,2.4,2.4,2.3,2.3,2.3600000000000003
FRA,France,250.0,4.2,4.3,4.3,4.3,4.4,4.3
PYF,French Polynesia,258.0,,,,,,
GAB,Gabon,266.0,47.4,45.5,44.1,43.0,41.7,44.339999999999996
GMB,Gambia,270.0,57.4,55.1,53.1,51.2,49.4,53.239999999999995
GEO,Georgia,268.0,10.2,9.9,9.7,9.5,9.3,9.719999999999999
DEU,Germany,276.0,3.9,3.9,3.8,3.7,3.7,3.8
GHA,Ghana,288.0,52.2,50.1,48.1,46.4,44.7,48.3
GIB,Gibraltar,292.0,,,,,,
GRC,Greece,300.0,4.4,4.3,4.2,4.2,4.1,4.239999999999999
GRL,Greenland,304.0,,,,,,
GRD,Grenada,308.0,16.4,16.6,16.6,16.5,16.4,16.5
GUM,Guam,316.0,,,,,,
GTM,Guatemala,320.0,27.3,26.4,25.4,24.5,23.6,25.439999999999998
GIN,Guinea,324.0,104.6,102.6,100.4,98.0,95.6,100.24000000000001
GNB,Guinea-Bissau,624.0,88.7,85.5,82.5,79.6,76.8,82.61999999999999
GUY,Guyana,328.0,32.1,31.2,30.2,29.3,28.4,30.24
HTI,Haiti,332.0,67.9,66.0,64.1,62.2,60.5,64.14
HND,Honduras,340.0,18.6,18.0,17.4,16.8,16.2,17.4
HKG,"China, Hong Kong SAR",344.0,,,,,,
HUN,Hungary,348.0,4.7,4.4,4.2,4.1,4.0,4.279999999999999
ISL,Iceland,352.0,2.2,2.1,2.1,2.0,1.9,2.06
IND,India,356.0,41.0,38.6,36.3,34.4,32.6,36.58
IDN,Indonesia,360.0,26.6,25.6,24.6,23.8,23.0,24.720000000000002
IRN,Iran (Islamic Republic of),364.0,14.9,14.4,13.9,13.4,12.9,13.9
IRQ,Iraq,368.0,28.8,27.9,27.0,26.1,25.2,27.0
IRL,Ireland,372.0,3.6,3.4,3.3,3.2,3.0,3.3
IMN,Isle of Man,833.0,,,,,,
ISR,Israel,376.0,3.8,3.8,3.7,3.6,3.6,3.7
ITA,Italy,380.0,3.4,3.3,3.2,3.0,2.9,3.1599999999999997
JAM,Jamaica,388.0,15.1,14.6,14.2,13.7,13.3,14.179999999999998
JPN,Japan,392.0,2.7,2.6,2.6,2.5,2.5,2.58
JOR,Jordan,400.0,17.0,16.4,16.0,15.5,15.0,15.98
KAZ,Kazakhstan,398.0,11.0,10.5,10.3,10.1,10.0,10.379999999999999
KEN,Kenya,404.0,47.2,45.9,44.3,43.0,41.9,44.459999999999994
KIR,Kiribati,296.0,56.0,54.5,52.8,51.2,49.6,52.82000000000001
PRK,Democratic People's Republic of Korea,408.0,20.0,19.0,18.2,17.3,16.5,18.2
KOR,Republic of Korea,410.0,3.4,3.3,3.2,3.1,3.0,3.1999999999999997
KWT,Kuwait,414.0,8.7,8.7,8.7,8.8,8.9,8.76
KGZ,Kyrgyzstan,417.0,21.2,20.1,19.2,18.3,17.5,19.259999999999998
LAO,Lao People's Democratic Republic,418.0,51.5,49.4,47.5,45.7,44.1,47.64
LVA,Latvia,428.0,4.7,4.4,4.2,4.1,4.0,4.279999999999999
LBN,Lebanon,422.0,8.0,7.7,7.4,7.2,7.0,7.459999999999999
LSO,Lesotho,426.0,91.5,91.0,90.6,90.9,89.5,90.7
LBR,Liberia,430.0,86.1,84.3,82.5,80.4,78.3,82.32
LBY,Libya,434.0,12.8,12.3,11.9,11.5,11.1,11.92
LIE,Liechtenstein,438.0,,,,,,
LTU,Lithuania,440.0,4.8,4.4,4.0,3.6,3.3,4.0200000000000005
LUX,Luxembourg,442.0,2.8,2.8,2.8,2.8,2.8,2.8
MAC,"China, Macao SAR",446.0,,,,,,
MDG,Madagascar,450.0,57.2,55.5,53.7,51.9,50.2,53.7
MWI,Malawi,454.0,49.5,46.2,43.1,40.6,38.6,43.6
MYS,Malaysia,458.0,8.1,8.3,8.4,8.6,8.6,8.4
MDV,Maldives,462.0,9.0,8.3,7.6,7.0,6.5,7.68
MLI,Mali,466.0,104.5,100.9,97.4,94.2,91.0,97.6
MLT,Malta,470.0,6.6,6.6,6.5,6.5,6.5,6.540000000000001
MHL,Marshall Islands,584.0,34.4,33.5,32.5,31.6,30.7,32.54
MRT,Mauritania,478.0,80.1,77.7,75.5,73.0,70.7,75.4
MUS,Mauritius,480.0,14.5,14.9,15.4,16.0,16.5,15.459999999999999
MEX,Mexico,484.0,15.7,15.2,14.6,14.1,13.7,14.66
FSM,Micronesia (Federated States of),583.0,28.0,27.0,26.2,25.4,24.7,26.259999999999998
MDA,Republic of Moldova,498.0,15.5,15.3,15.0,14.8,14.5,15.02
MCO,Monaco,492.0,3.4,3.3,3.2,3.1,3.0,3.1999999999999997
MNG,Mongolia,496.0,18.5,17.6,16.8,16.0,15.4,16.860000000000003
MNE,Montenegro,499.0,3.6,3.2,2.9,2.6,2.4,2.9400000000000004
MAR,Morocco,504.0,22.3,21.2,20.3,19.5,18.7,20.4
MOZ,Mozambique,508.0,80.4,78.0,75.6,72.9,70.6,75.5
MMR,Myanmar,104.0,50.3,48.5,46.8,45.2,43.7,46.9
NAM,Namibia,516.0,46.3,44.9,43.9,41.9,40.2,43.44
NRU,Nauru,520.0,32.3,31.3,30.4,29.5,28.5,30.4
NPL,Nepal,524.0,33.7,32.1,30.6,29.3,28.2,30.78
NLD,Netherlands,528.0,4.0,4.0,4.1,4.1,4.2,4.08
NCL,New Caledonia,540.0,,,,,,
NZL,New Zealand,554.0,5.4,5.2,5.0,4.9,4.7,5.04
NIC,Nicaragua,558.0,18.6,17.9,17.3,16.6,16.0,17.28
NER,Niger,562.0,90.1,86.6,83.5,80.3,77.5,83.6
NGA,Nigeria,566.0,124.7,122.5,119.9,116.9,113.8,119.55999999999999
MKD,North Macedonia,807.0,10.9,9.6,8.1,6.8,5.9,8.26
MNP,Northern Mariana Islands,580.0,,,,,,
NOR,Norway,578.0,2.6,2.5,2.4,2.3,2.2,2.4
OMN,Oman,512.0,11.2,11.2,11.1,11.1,11.0,11.120000000000001
PAK,Pakistan,586.0,73.8,71.6,69.5,67.3,65.2,69.47999999999999
PLW,Palau,585.0,19.2,18.6,18.0,17.4,16.9,18.02
PAN,Panama,591.0,16.4,15.9,15.4,14.8,14.3,15.36
PNG,Papua New Guinea,598.0,49.7,48.2,46.8,45.3,43.9,46.78
PRY,Paraguay,600.0,21.6,20.9,20.2,19.5,18.9,20.22
PER,Peru,604.0,15.0,14.4,13.8,13.3,12.8,13.86
PHL,Philippines,608.0,29.1,28.5,27.9,27.1,26.4,27.8
POL,Poland,616.0,4.7,4.6,4.5,4.4,4.4,4.5200000000000005
PRT,Portugal,620.0,3.6,3.6,3.6,3.4,3.3,3.5
PRI,Puerto Rico,630.0,,,,,,
QAT,Qatar,634.0,7.4,7.0,6.6,6.1,5.8,6.58
ROU,Romania,642.0,8.5,7.9,7.4,7.1,6.9,7.56
RUS,Russian Federation,643.0,7.5,6.9,6.3,5.8,5.4,6.38
RWA,Rwanda,646.0,46.0,44.6,43.4,41.9,40.5,43.28
WSM,Samoa,882.0,18.4,18.1,17.8,17.4,17.0,17.74
SMR,San Marino,674.0,2.1,2.0,1.9,1.8,1.8,1.92
STP,Sao Tome and Principe,678.0,21.2,19.5,18.1,17.0,16.1,18.380000000000003
SAU,Saudi Arabia,682.0,8.6,8.1,7.7,7.3,7.0,7.74
SEN,Senegal,686.0,46.5,44.0,41.7,39.7,38.1,41.99999999999999
SRB,Serbia,688.0,6.0,5.9,5.8,5.7,5.6,5.8
SYC,Seychelles,690.0,14.8,14.7,14.5,14.3,13.9,14.440000000000001
SLE,Sierra Leone,694.0,125.4,120.7,116.2,111.9,107.8,116.4
SGP,Singapore,702.0,2.7,2.6,2.5,2.4,2.2,2.4800000000000004
SXM,Sint Maarten (Dutch part),534.0,,,,,,
SVK,Slovakia,703.0,6.1,6.0,5.9,5.8,5.8,5.92
SVN,Slovenia,705.0,2.5,2.4,2.3,2.3,2.2,2.34
SLB,Solomon Islands,90.0,22.0,21.4,20.7,20.0,19.4,20.7
SOM,Somalia,706.0,130.3,126.1,122.0,118.3,114.6,122.25999999999999
ZAF,South Africa,710.0,35.2,34.6,33.9,33.0,32.2,33.78000000000001
SSD,South Sudan,728.0,97.9,97.9,97.9,97.9,97.9,97.9
ESP,Spain,724.0,3.3,3.3,3.3,3.3,3.2,3.28
LKA,Sri Lanka,144.0,8.2,7.8,7.5,7.2,6.9,7.5200000000000005
KNA,Saint Kitts and Nevis,659.0,16.6,16.2,15.8,15.4,15.0,15.8
LCA,Saint Lucia,662.0,22.4,23.0,23.5,24.0,24.4,23.46
MAF,Saint-Martin (French part),663.0,,,,,,
VCT,Saint Vincent and the Grenadines,670.0,16.2,15.6,15.1,14.6,14.1,15.12
SDN,Sudan,729.0,63.9,62.0,60.1,58.4,56.6,60.2
SUR,Suriname,740.0,19.8,19.3,18.7,18.1,17.6,18.7
SWE,Sweden,752.0,2.8,2.8,2.7,2.7,2.6,2.7199999999999998
CHE,Switzerland,756.0,4.2,4.2,4.1,4.0,4.0,4.1
SYR,Syrian Arab Republic,760.0,39.5,23.5,23.4,22.2,22.4,26.2
TJK,Tajikistan,762.0,36.5,35.3,34.3,33.3,32.3,34.339999999999996
TZA,United Republic of Tanzania,834.0,56.0,54.1,52.1,50.5,48.9,52.31999999999999
THA,Thailand,764.0,10.3,9.9,9.4,9.0,8.7,9.459999999999999
TLS,Timor-Leste,626.0,48.4,46.8,45.1,43.7,42.3,45.260000000000005
TGO,Togo,768.0,73.4,71.1,68.8,66.5,64.4,68.84
TON,Tonga,776.0,12.3,12.1,11.9,11.7,11.4,11.879999999999999
TTO,Trinidad and Tobago,780.0,18.8,18.3,17.7,17.2,16.6,17.72
TUN,Tunisia,788.0,17.1,17.1,17.0,16.9,16.6,16.939999999999998
TUR,Türkiye,792.0,12.1,11.4,10.7,10.1,9.5,10.760000000000002
TKM,Turkmenistan,795.0,42.5,42.9,42.8,42.4,41.8,42.48
TCA,Turks and Caicos Islands,796.0,,,,,,
TUV,Tuvalu,798.0,25.1,24.3,23.5,22.7,22.0,23.520000000000003
UGA,Uganda,800.0,52.4,49.9,47.4,45.3,43.3,47.660000000000004
UKR,Ukraine,804.0,9.2,8.9,8.6,8.4,8.1,8.64
ARE,United Arab Emirates,784.0,7.4,7.2,7.0,6.8,6.6,7.0
GBR,United Kingdom of Great Britain and Northern Ireland,826.0,4.4,4.4,4.3,4.3,4.2,4.32
USA,United States of America,840.0,6.7,6.6,6.5,6.4,6.3,6.5
URY,Uruguay,858.0,8.4,7.8,7.3,6.7,6.2,7.279999999999999
UZB,Uzbekistan,860.0,18.0,16.8,15.8,14.8,13.9,15.86
VUT,Vanuatu,548.0,27.6,26.9,26.3,25.6,24.9,26.26
VEN,Venezuela (Bolivarian Republic of),862.0,24.2,24.2,24.2,24.2,24.2,24.2
VNM,Viet Nam,704.0,21.6,21.4,21.3,21.1,20.9,21.26
VIR,United States Virgin Islands,850.0,,,,,,
PSE,Palestine,275.0,18.6,18.1,17.5,17.0,16.5,17.54
YEM,Yemen,887.0,60.3,60.2,61.6,61.5,59.6,60.64
ZMB,Zambia,894.0,65.3,64.6,65.4,64.1,61.4,64.16
ZWE,Zimbabwe,716.0,58.7,57.0,54.8,54.2,53.9,55.71999999999999
